Date,TotalOI,PMPUL_OI,PMPUS_OI,SDL_OI,SDS_OI,SDD_OI,MML_OI,MMS_OI,MMD_OI,ORL_OI,ORS_OI,ORD_OI,NRL_OI,NRS_OI,TotalOI_Old,PMPUL_Old,PMPUS_Old,SDL_Old,SDS_Old,SDD_Old,MML_Old,MMS_Old,MMD_Old,ORL_Old,ORS_Old,ORD_Old,NRL_Old,NRS_Old,PMPUL_Concentration,PMPUS_Concentration,SDL_Concentration,SDS_Concentration,SDD_Concentration,MML_Concentration,MMS_Concentration,MMD_Concentration,ORL_Concentration,ORS_Concentration,ORD_Concentration,NRL_Concentration,NRS_Concentration,TotalT,PMPUL_T,PMPUS_T,SDL_T,SDS_T,SDD_T,MML_T,MMS_T,MMD_T,ORL_T,ORS_T,ORD_T,Gross_Long_Top4,Gross_Short_Top4,Gross_Long_Top8,Gross_Short_Top8,Net_Long_Top4,Net_Short_Top4,Net_Long_Top8,Net_Short_Top8,PMPUL_Clustering,PMPUL_PosSize,PMPUS_Clustering,PMPUS_PosSize,MML_Clustering,MML_PosSize,MMS_Clustering,MMS_PosSize,MMD_Clustering,MMD_PosSize,SDL_Clustering,SDL_PosSize,SDS_Clustering,SDS_PosSize,SDD_Clustering,SDD_PosSize,ORL_Clustering,ORL_PosSize,ORS_Clustering,ORS_PosSize,Name
2006-06-13,156142,10251,63082,64621,315,50,20560,14898,17438,9180,6167,16431,17611,37761,137018,7107,52028,64612,315,50,16716,17688,14409,8680,10591,11209,14235,30728,6.6,40.4,41.4,0.2,0.0,13.2,9.5,11.2,5.9,3.9,10.5,11.3,24.2,216,26.0,45.0,10.0,,,46.0,33.0,27.0,35.0,26.0,49.0,31.6,21.2,43.6,29.0,31.6,20.7,41.9,27.0,12.04,394.27,20.83,1401.82,21.3,446.96,15.28,451.45,12.5,645.85,4.63,6462.1,,,,,16.2,262.29,12.04,237.19,Lean Hogs
2006-06-20,157887,12853,74586,64376,262,0,22792,10468,15837,9541,6503,13292,19196,36939,135522,8682,61609,64367,262,0,18607,16442,9625,9240,8796,10177,14824,28611,8.1,47.2,40.8,0.2,0.0,14.4,6.6,10.0,6.0,4.1,8.4,12.2,23.4,203,27.0,42.0,10.0,,0.0,50.0,30.0,30.0,22.0,25.0,34.0,31.1,27.9,43.2,36.3,31.1,26.8,41.0,32.5,13.3,476.04,20.69,1775.86,24.63,455.84,14.78,348.93,14.78,527.9,4.93,6437.6,,,0.0,0.0,10.84,433.68,12.32,260.12,Lean Hogs
2006-06-27,163074,13768,80282,64625,261,0,25908,9276,16962,9581,6231,13893,18337,36169,137211,8250,64847,64616,261,0,21214,15065,10878,9080,9361,9963,13210,26836,8.4,49.2,39.6,0.2,0.0,15.9,5.7,10.4,5.9,3.8,8.5,11.2,22.2,198,28.0,45.0,10.0,,0.0,56.0,23.0,32.0,15.0,22.0,30.0,30.3,30.2,42.2,38.5,30.3,27.4,40.3,33.0,14.14,491.71,22.73,1784.04,28.28,462.64,11.62,403.3,16.16,530.06,5.05,6462.5,,,0.0,0.0,7.58,638.73,11.11,283.23,Lean Hogs
2006-07-03,162959,14595,81797,64796,243,0,25870,8677,17038,10151,6898,11648,18861,36658,134819,8119,64897,64787,243,0,20675,14896,10542,9752,10343,7153,13791,26745,9.0,50.2,39.8,0.1,0.0,15.9,5.3,10.5,6.2,4.2,7.1,11.6,22.5,194,26.0,42.0,10.0,,0.0,52.0,24.0,33.0,16.0,24.0,31.0,30.7,30.6,42.3,39.0,30.7,27.7,40.4,33.5,13.4,561.35,21.65,1947.55,26.8,497.5,12.37,361.54,17.01,516.3,5.15,6479.6,,,0.0,0.0,8.25,634.44,12.37,287.42,Lean Hogs
2006-07-11,150897,14145,77388,65311,242,45,24298,9471,11451,9956,6985,7523,18168,37792,121496,7140,59547,65096,242,45,19098,15758,4962,9522,10541,2790,12843,27611,9.4,51.3,43.3,0.2,0.0,16.1,6.3,7.6,6.6,4.6,5.0,12.0,25.0,182,25.0,42.0,10.0,,,43.0,25.0,24.0,15.0,27.0,31.0,33.3,30.2,45.4,38.9,33.3,27.1,43.9,33.4,13.74,565.8,23.08,1842.57,23.63,565.07,13.74,378.84,13.19,477.12,5.49,6531.1,,,,,8.24,663.73,14.84,258.7,Lean Hogs
2006-07-18,156875,11229,74061,65074,242,46,22623,9642,16652,9114,6439,13251,18886,36542,125408,3916,55117,64543,242,46,17478,16729,9311,8791,10347,7823,13500,25793,7.2,47.2,41.5,0.2,0.0,14.4,6.1,10.6,5.8,4.1,8.4,12.0,23.3,191,25.0,45.0,10.0,,,39.0,27.0,29.0,16.0,25.0,35.0,31.9,26.7,43.5,35.1,31.9,25.7,42.1,31.9,13.09,449.16,23.56,1645.8,20.42,580.08,14.14,357.11,15.18,574.21,5.24,6507.4,,,,,8.38,569.62,13.09,257.56,Lean Hogs
2006-07-25,157440,11654,69816,65865,242,15,19853,12317,15602,9932,6830,15828,18691,36790,122000,3436,48969,65284,242,15,15276,19649,7323,9297,11981,8758,12611,25063,7.4,44.4,41.8,0.2,0.0,12.6,7.8,9.9,6.3,4.3,10.1,11.9,23.4,191,24.0,44.0,10.0,,,29.0,34.0,25.0,20.0,32.0,37.0,32.3,23.2,44.0,31.7,32.3,22.1,42.6,28.5,12.57,485.58,23.04,1586.73,15.18,684.59,17.8,362.26,13.09,624.08,5.24,6586.5,,,,,10.47,496.6,16.75,213.44,Lean Hogs
2006-08-01,161543,11931,70129,66258,240,0,22136,13747,15560,10079,6886,17028,18551,37953,118959,4326,46575,65527,240,0,15569,21047,6289,9332,14334,6535,11381,23939,7.4,43.4,41.0,0.1,0.0,13.7,8.5,9.6,6.2,4.3,10.5,11.5,23.5,194,25.0,44.0,9.0,,0.0,35.0,32.0,23.0,17.0,33.0,43.0,31.9,22.8,43.4,31.4,31.9,21.7,42.3,28.1,12.89,477.24,22.68,1593.84,18.04,632.46,16.49,429.59,11.86,676.52,4.64,7362.0,,,0.0,0.0,8.76,592.88,17.01,208.67,Lean Hogs
2006-08-08,160441,10178,70288,65725,241,0,24384,12898,14708,9676,7720,17091,18679,37495,110183,2907,41733,63881,241,0,17076,23024,2437,9367,16383,4192,10323,22173,6.3,43.8,41.0,0.2,0.0,15.2,8.0,9.2,6.0,4.8,10.7,11.6,23.4,193,21.0,44.0,9.0,,0.0,39.0,29.0,23.0,15.0,39.0,41.0,31.8,23.0,43.2,31.5,31.8,22.3,41.9,29.2,10.88,484.67,22.8,1597.45,20.21,625.23,15.03,444.76,11.92,639.48,4.66,7302.78,,,0.0,0.0,7.77,645.07,20.21,197.95,Lean Hogs
2006-08-15,156604,8112,70379,65007,241,0,25693,10604,13535,7763,8844,18414,18080,34587,95903,1305,33546,61537,241,0,18500,22567,39,7524,22570,0,6998,16940,5.2,44.9,41.5,0.2,0.0,16.4,6.8,8.6,5.0,5.6,11.8,11.5,22.1,186,16.0,42.0,9.0,,0.0,46.0,25.0,20.0,15.0,33.0,35.0,32.2,24.7,44.2,34.0,32.2,23.6,42.4,30.3,8.6,507.0,22.58,1675.69,24.73,558.54,13.44,424.16,10.75,676.75,4.84,7223.0,,,0.0,0.0,8.06,517.53,17.74,268.0,Lean Hogs
