Date,TotalOI,PMPUL_OI,PMPUS_OI,SDL_OI,SDS_OI,SDD_OI,MML_OI,MMS_OI,MMD_OI,ORL_OI,ORS_OI,ORD_OI,NRL_OI,NRS_OI,TotalOI_Old,PMPUL_Old,PMPUS_Old,SDL_Old,SDS_Old,SDD_Old,MML_Old,MMS_Old,MMD_Old,ORL_Old,ORS_Old,ORD_Old,NRL_Old,NRS_Old,PMPUL_Concentration,PMPUS_Concentration,SDL_Concentration,SDS_Concentration,SDD_Concentration,MML_Concentration,MMS_Concentration,MMD_Concentration,ORL_Concentration,ORS_Concentration,ORD_Concentration,NRL_Concentration,NRS_Concentration,TotalT,PMPUL_T,PMPUS_T,SDL_T,SDS_T,SDD_T,MML_T,MMS_T,MMD_T,ORL_T,ORS_T,ORD_T,Gross_Long_Top4,Gross_Short_Top4,Gross_Long_Top8,Gross_Short_Top8,Net_Long_Top4,Net_Short_Top4,Net_Long_Top8,Net_Short_Top8,PMPUL_Clustering,PMPUL_PosSize,PMPUS_Clustering,PMPUS_PosSize,MML_Clustering,MML_PosSize,MMS_Clustering,MMS_PosSize,MMD_Clustering,MMD_PosSize,SDL_Clustering,SDL_PosSize,SDS_Clustering,SDS_PosSize,SDD_Clustering,SDD_PosSize,ORL_Clustering,ORL_PosSize,ORS_Clustering,ORS_PosSize,Name
2006-06-13,379960,68531,124789,101559,6484,964,37243,50601,25755,31928,21799,54259,59721,95309,171616,39201,49905,16673,5582,211,24404,50397,481,39265,9553,16647,34734,38840,18.0,32.8,26.7,1.7,0.3,9.8,13.3,6.8,8.4,5.7,14.3,15.7,25.1,397,76.0,98.0,13.0,4.0,5.0,37.0,57.0,32.0,68.0,66.0,96.0,18.6,13.2,28.6,19.7,18.6,12.3,27.3,17.4,19.14,901.72,24.69,1273.36,9.32,1006.57,14.36,887.74,8.06,804.84,3.27,7812.23,1.01,1621.0,1.26,192.8,17.13,469.53,16.62,330.29,Soybeans
2006-06-20,374060,75205,126499,104549,6967,585,34275,53156,26069,28041,21232,46689,58647,92863,135718,36792,49861,6372,675,136,16081,32025,723,30190,7437,13587,31837,31274,20.1,33.8,27.9,1.9,0.2,9.2,14.2,7.0,7.5,5.7,12.5,15.7,24.8,390,73.0,100.0,12.0,4.0,,39.0,60.0,39.0,65.0,60.0,96.0,19.0,13.5,29.4,20.2,19.0,12.7,27.6,17.9,18.72,1030.21,25.64,1264.99,10.0,878.85,15.38,885.93,10.0,668.44,3.08,8712.42,1.03,1741.75,,,16.67,431.4,15.38,353.87,Soybeans
2006-06-27,351200,81537,109652,102040,7522,1103,31123,69349,23246,21809,17898,41555,48787,80875,88640,30854,39314,2616,530,498,8755,15105,83,17624,5720,9942,18268,17448,23.2,31.2,29.1,2.1,0.3,8.9,19.7,6.6,6.2,5.1,11.8,13.9,23.0,370,78.0,94.0,12.0,4.0,,31.0,68.0,30.0,61.0,45.0,88.0,21.1,11.9,33.1,17.9,20.3,9.8,29.9,15.4,21.08,1045.35,25.41,1166.51,8.38,1003.97,18.38,1019.84,8.11,774.87,3.24,8503.33,1.08,1880.5,,,16.49,357.52,12.16,397.73,Soybeans
2006-07-03,331145,58929,107857,102262,6796,1422,33989,50089,18949,24669,20481,44009,46916,81542,61943,20208,25613,26,1247,0,3637,10832,81,19709,3341,7315,10967,13514,17.8,32.6,30.9,2.1,0.4,10.3,15.1,5.7,7.4,6.2,13.3,14.2,24.6,368,71.0,98.0,13.0,4.0,5.0,33.0,57.0,26.0,55.0,66.0,91.0,21.6,11.7,31.9,17.9,21.6,11.3,31.2,16.6,19.29,829.99,26.63,1100.58,8.97,1029.97,15.49,878.75,7.07,728.81,3.53,7866.31,1.09,1699.0,1.36,284.4,14.95,448.53,17.93,310.32,Soybeans
2006-07-11,339653,60900,125781,103460,6066,1338,42301,46054,16121,22565,22742,44366,48602,77185,54182,19235,28297,36,1178,0,4157,9301,155,19806,3235,490,10303,11526,17.9,37.0,30.5,1.8,0.4,12.5,13.6,4.7,6.6,6.7,13.1,14.3,22.7,382,73.0,108.0,11.0,4.0,5.0,42.0,56.0,27.0,62.0,64.0,85.0,21.3,12.8,31.1,19.4,21.3,11.8,30.5,16.8,19.11,834.25,28.27,1164.64,10.99,1007.17,14.66,822.39,7.07,597.07,2.88,9405.45,1.05,1516.5,1.31,267.6,16.23,363.95,16.75,355.34,Soybeans
2006-07-18,332154,65722,126321,102898,6620,1104,39753,41479,16615,20245,25835,37717,48100,76463,47728,18187,29806,0,1224,0,3054,5807,0,17791,2449,32,8664,8410,19.8,38.0,31.0,2.0,0.3,12.0,12.5,5.0,6.1,7.8,11.4,14.5,23.0,380,78.0,105.0,12.0,4.0,,43.0,50.0,26.0,58.0,63.0,89.0,21.8,13.8,32.6,20.8,21.8,11.8,31.0,17.1,20.53,842.59,27.63,1203.06,11.32,924.49,13.16,829.58,6.84,639.04,3.16,8574.83,1.05,1655.0,,,15.26,349.05,16.58,410.08,Soybeans
2006-07-25,329423,63964,118010,104989,7114,1157,41506,49660,17357,17455,27310,32575,50420,76240,28390,10982,18825,100,0,0,943,1825,0,8216,1558,56,8093,6126,19.4,35.8,31.9,2.2,0.4,12.6,15.1,5.3,5.3,8.3,9.9,15.3,23.1,372,81.0,106.0,12.0,4.0,,35.0,65.0,28.0,49.0,58.0,82.0,22.1,13.8,33.4,20.8,22.1,12.4,31.4,17.1,21.77,789.68,28.49,1113.3,9.41,1185.89,17.47,764.0,7.53,619.89,3.23,8749.08,1.08,1778.5,,,13.17,356.22,15.59,470.86,Soybeans
2006-08-01,342520,66209,107956,109607,7555,2564,43942,68352,20557,18060,29183,31321,50260,75032,325043,61594,101358,109591,7573,2546,43512,69989,15550,19452,31625,25325,47473,71077,19.3,31.5,32.0,2.2,0.7,12.8,20.0,6.0,5.3,8.5,9.1,14.7,21.9,393,65.0,107.0,12.0,4.0,5.0,35.0,71.0,29.0,58.0,64.0,85.0,22.1,13.6,33.9,20.8,22.1,12.4,31.7,18.2,16.54,1018.6,27.23,1008.93,8.91,1255.49,18.07,962.7,7.38,708.86,3.05,9133.92,1.02,1888.75,1.27,512.8,14.76,311.38,16.28,455.98,Soybeans
2006-08-08,340431,65980,102628,107121,6730,2193,45943,76473,19462,19953,30663,27525,52254,74757,322119,61382,96038,107105,6748,2175,45352,78385,13688,21802,32787,21445,49170,70853,19.4,30.1,31.5,2.0,0.6,13.5,22.5,5.7,5.9,9.0,8.1,15.3,22.0,392,72.0,106.0,12.0,4.0,6.0,42.0,70.0,26.0,53.0,67.0,78.0,21.8,13.4,33.1,20.7,21.8,12.7,31.9,19.0,18.37,916.39,27.04,968.19,10.71,1093.88,17.86,1092.47,6.63,748.54,3.06,8926.75,1.02,1682.5,1.53,365.5,13.52,376.47,17.09,457.66,Soybeans
2006-08-15,343399,74397,104128,105176,7722,961,44729,79750,23668,18641,27946,26359,49468,72865,324591,70409,97538,105160,7760,923,43246,81678,17539,20775,30079,20121,46418,68953,21.7,30.3,30.6,2.2,0.3,13.0,23.2,6.9,5.4,8.1,7.7,14.4,21.2,384,81.0,103.0,12.0,4.0,4.0,42.0,71.0,29.0,52.0,61.0,74.0,21.2,12.6,33.6,20.1,21.2,11.4,31.3,18.2,21.09,918.48,26.82,1010.95,10.94,1064.98,18.49,1123.24,7.55,816.14,3.12,8764.67,1.04,1930.5,1.04,240.25,13.54,358.48,15.89,458.13,Soybeans
