Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2008-10-30,201009,37.59,37.59,37.59,37.59,0,0,68423,257054
2008-10-31,201009,36.71,36.71,36.71,36.71,0,0,49099,253519
2008-11-03,201009,37.85,37.85,37.85,37.85,0,0,58935,253716
2008-11-04,201009,39.32,39.32,39.32,39.32,0,0,64941,253964
2008-11-05,201009,37.68,37.68,37.68,37.68,0,0,66813,254684
2008-11-06,201009,37.5,37.5,37.5,37.5,0,0,80442,252474
2008-11-07,201009,37.2,37.2,37.2,37.2,0,0,47044,255710
2008-11-10,201009,38.7,38.7,38.7,38.88,41,41,62616,255332
2008-11-11,201009,37.17,37.17,37.17,37.17,0,41,79681,257159
2008-11-12,201009,35.98,35.98,35.98,35.98,0,41,62310,257727
2008-11-13,201009,36.17,36.17,36.17,36.17,0,41,67545,257529
2008-11-14,201009,36.0,36.0,36.0,36.0,0,41,64157,261066
2008-11-17,201009,35.74,35.74,35.74,35.74,0,41,53784,258229
2008-11-18,201009,35.8,35.8,35.8,35.8,0,41,60099,255186
2008-11-19,201009,35.74,35.74,35.74,35.74,0,41,48753,256782
2008-11-20,201009,35.0,35.0,35.0,34.22,10,51,78075,257762
2008-11-21,201009,34.75,34.75,34.75,33.98,7,58,64299,237941
2008-11-24,201009,36.1,36.1,36.1,36.1,0,58,83064,238495
2008-11-25,201009,35.8,35.8,35.8,35.8,0,58,98302,242192
2008-11-26,201009,36.01,36.01,36.01,36.01,0,58,72238,242336
2008-11-28,201009,36.07,36.07,36.07,36.07,0,58,39312,241176
2008-12-01,201009,34.75,34.75,34.75,34.75,0,58,65946,238561
2008-12-02,201009,34.14,34.14,34.14,34.14,0,58,62232,234344
2008-12-03,201009,34.1,34.1,34.1,34.1,0,58,64967,234018
2008-12-04,201009,34.75,34.75,34.75,32.49,12,63,76482,230526
2008-12-05,201009,31.55,31.55,31.55,31.55,0,63,92008,224542
2008-12-08,201009,32.95,32.95,32.95,32.95,0,63,83221,221959
2008-12-09,201009,32.95,32.95,32.95,32.95,0,63,68958,219061
2008-12-10,201009,33.7,33.7,33.7,33.7,0,63,80595,217388
2008-12-11,201009,34.79,34.79,34.79,34.79,0,63,64744,218543
2008-12-12,201009,34.0,34.0,34.0,34.0,0,63,65156,219390
2008-12-15,201009,33.75,33.75,33.75,33.75,0,63,57719,221929
2008-12-16,201009,34.42,34.42,34.42,34.42,0,63,50226,224445
2008-12-17,201009,34.1,34.1,34.1,34.1,0,63,70008,225886
2008-12-18,201009,33.67,33.67,33.67,33.67,0,63,68843,223397
2008-12-19,201009,33.5,33.5,33.5,33.5,0,63,71762,222178
