Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2006-11-20,201202,65.65,65.65,65.65,65.65,0,0,276818,1147089
2006-11-21,201202,66.37,66.37,66.37,66.37,0,0,294161,1152676
2006-11-22,201202,66.54,66.54,66.54,66.54,0,0,305316,1152815
2006-11-27,201202,67.0,67.0,67.0,67.0,0,0,294202,1160095
2006-11-28,201202,66.86,66.86,66.86,66.86,0,0,275042,1172455
2006-11-29,201202,67.29,67.29,67.29,67.29,0,0,394865,1201825
2006-11-30,201202,67.5,67.5,67.5,67.5,0,0,407286,1214068
2006-12-01,201202,68.05,68.05,68.05,68.05,0,0,353827,1222992
2006-12-04,201202,67.58,67.58,67.58,67.58,0,0,304962,1226765
2006-12-05,201202,67.5,67.5,67.5,67.5,0,0,420283,1218680
2006-12-06,201202,67.06,67.06,67.06,67.06,0,0,417361,1221299
2006-12-07,201202,66.66,66.66,66.66,66.66,0,0,567796,1226350
2006-12-08,201202,66.24,66.24,66.24,66.24,0,0,492737,1213357
2006-12-11,201202,66.0,66.0,66.0,66.0,0,0,403073,1216806
2006-12-12,201202,65.87,65.87,65.87,65.87,0,0,455329,1222508
2006-12-13,201202,66.28,66.28,66.28,66.28,0,0,474026,1223320
2006-12-14,201202,67.13,67.13,67.13,67.13,0,0,366917,1219234
2006-12-15,201202,67.14,67.14,67.14,67.14,0,0,299331,1214022
2006-12-18,201202,65.89,65.89,65.89,65.89,0,0,396969,1171000
2006-12-19,201202,66.66,66.66,66.66,66.66,0,0,316432,1161945
2006-12-20,201202,67.56,67.56,67.56,67.56,0,0,360751,1160164
2006-12-21,201202,67.13,67.13,67.13,67.13,0,0,252591,1169487
2006-12-22,201202,67.04,67.04,67.04,67.04,0,0,142878,1175840
2006-12-26,201202,66.32,66.32,66.32,66.32,0,0,179580,1179893
2006-12-27,201202,65.2,65.2,65.2,65.2,0,0,196804,1184793
2006-12-28,201202,65.16,65.16,65.16,65.16,0,0,204437,1190992
2006-12-29,201202,65.51,65.51,65.51,65.51,0,0,192573,1195955
2007-01-03,201202,62.86,62.86,62.86,62.86,0,0,459979,1226641
2007-01-04,201202,60.79,60.79,60.79,60.79,0,0,562547,1251577
2007-01-05,201202,62.29,62.29,62.29,62.29,0,0,483127,1274343
2007-01-08,201202,62.62,62.62,62.62,62.62,0,0,586969,1303341
2007-01-09,201202,62.68,62.68,62.68,62.68,0,0,657549,1280292
2007-01-10,201202,61.38,61.38,61.38,61.38,0,0,575189,1275719
2007-01-11,201202,59.67,59.67,59.67,59.67,0,0,800731,1300113
2007-01-12,201202,60.81,60.81,60.81,60.81,0,0,713900,1314381
2007-01-16,201202,60.24,60.24,60.24,60.24,0,0,604151,1317380
2007-01-17,201202,60.68,60.68,60.68,60.68,0,0,615742,1303598
2007-01-18,201202,59.67,59.67,59.67,59.67,0,0,545513,1300570
2007-01-19,201202,60.44,60.44,60.44,60.44,0,0,419408,1277292
2007-01-22,201202,60.01,60.01,60.01,60.01,0,0,459453,1272135
2007-01-23,201202,61.12,61.12,61.12,61.12,0,0,417434,1269509
2007-01-24,201202,61.04,61.04,61.04,61.04,0,0,412024,1266251
2007-01-25,201202,60.29,60.29,60.29,60.29,0,0,367449,1284202
2007-01-26,201202,60.9,60.9,60.9,60.9,0,0,284219,1289862
2007-01-29,201202,59.83,59.83,59.83,59.83,0,0,339461,1296103
2007-01-30,201202,61.95,61.95,61.95,61.95,0,0,440158,1306996
2007-01-31,201202,62.97,62.97,62.97,62.97,0,0,554498,1294571
2007-02-01,201202,62.33,62.33,62.33,62.33,0,0,458339,1292023
2007-02-02,201202,64.23,64.23,64.23,64.23,0,0,384584,1295930
2007-02-05,201202,64.01,64.01,64.01,64.01,0,0,432524,1299772
2007-02-06,201202,63.53,63.53,63.53,63.53,0,0,505487,1298456
2007-02-07,201202,62.36,62.36,62.36,62.36,0,0,638066,1299361
2007-02-08,201202,64.29,64.29,64.29,64.29,0,0,589586,1293704
2007-02-09,201202,64.18,64.18,64.18,64.18,0,0,615451,1307031
2007-02-12,201202,62.75,62.75,62.75,62.75,0,0,510480,1311266
2007-02-13,201202,63.66,63.66,63.66,63.66,0,0,531838,1322794
2007-02-14,201202,62.07,62.07,62.07,62.07,0,0,478311,1299710
2007-02-15,201202,61.45,61.45,61.45,61.45,0,0,492292,1282765
2007-02-16,201202,62.61,62.61,62.61,62.61,0,0,443085,1255185
2007-02-20,201202,61.96,61.96,61.96,61.96,0,0,406171,1227487
2007-02-21,201202,63.19,63.19,63.19,63.19,0,0,384740,1240761
2007-02-22,201202,64.89,64.89,64.89,64.89,0,0,470231,1258267
2007-02-23,201202,66.03,66.03,66.03,66.03,0,0,486239,1261086
2007-02-26,201202,66.22,66.22,66.22,66.22,0,0,327216,1259040
2007-02-27,201202,66.39,66.39,66.39,66.39,0,0,453614,1269208
2007-02-28,201202,67.31,67.31,67.31,67.31,0,0,476900,1286745
2007-03-01,201202,67.13,67.13,67.13,67.13,0,0,419408,1282386
2007-03-02,201202,66.34,66.34,66.34,66.34,0,0,312465,1280397
2007-03-05,201202,65.31,65.31,65.31,65.31,0,0,389604,1284938
2007-03-06,201202,66.11,66.11,66.11,66.11,0,0,398028,1275194
2007-03-07,201202,66.94,66.94,66.94,66.94,0,0,538350,1299341
2007-03-08,201202,66.64,66.64,66.64,66.64,0,0,491375,1287328
2007-03-09,201202,65.69,65.69,65.69,65.69,0,0,516485,1296725
2007-03-12,201202,65.3,65.3,65.3,65.3,0,0,525029,1308802
2007-03-13,201202,65.18,65.18,65.18,65.18,0,0,620125,1322242
2007-03-14,201202,65.64,65.64,65.64,65.64,0,0,522136,1324183
2007-03-15,201202,65.08,65.08,65.08,65.08,0,0,451693,1328173
2007-03-16,201202,65.06,65.06,65.06,65.06,0,0,425289,1333900
2007-03-19,201202,65.35,65.35,65.35,65.35,0,0,422992,1322175
2007-03-20,201202,65.21,65.21,65.21,65.21,0,0,399966,1312508
2007-03-21,201202,65.84,65.84,65.84,65.84,0,0,342543,1309196
2007-03-22,201202,66.92,66.92,66.92,66.92,0,0,388165,1325199
2007-03-23,201202,66.6,66.6,66.6,66.6,0,0,343487,1329103
2007-03-26,201202,67.46,67.46,67.46,67.46,0,0,428869,1326826
2007-03-27,201202,67.91,67.91,67.91,67.91,0,0,403982,1330479
2007-03-28,201202,67.39,67.39,67.39,67.39,0,0,462600,1335307
2007-03-29,201202,67.16,67.16,67.16,67.16,0,0,693898,1349923
2007-03-30,201202,66.11,66.11,66.11,66.11,0,0,567987,1354924
2007-04-02,201202,66.76,66.76,66.76,66.76,0,0,408559,1362051
2007-04-03,201202,66.86,66.86,66.86,66.86,0,0,404003,1358053
2007-04-04,201202,67.46,67.46,67.46,67.46,0,0,510374,1377076
2007-04-05,201202,67.87,67.87,67.87,67.87,0,0,440248,1368748
2007-04-09,201202,67.28,67.28,67.28,67.28,0,0,580186,1329107
2007-04-10,201202,68.16,68.16,68.16,68.16,0,0,558568,1326403
2007-04-11,201202,68.05,68.05,68.05,68.05,0,0,605984,1312277
2007-04-12,201202,68.87,68.87,68.87,68.87,0,0,670393,1333642
2007-04-13,201202,68.56,68.56,68.56,68.56,0,0,527802,1350566
2007-04-16,201202,67.41,67.41,67.41,67.41,0,0,527573,1347663
2007-04-17,201202,66.85,66.85,66.85,66.85,0,0,569432,1309533
2007-04-18,201202,67.33,67.33,67.33,67.33,0,0,477130,1303790
2007-04-19,201202,66.92,66.92,66.92,66.92,0,0,464338,1300199
2007-04-20,201202,67.49,67.49,67.49,67.49,0,0,297023,1297960
2007-04-23,201202,68.22,68.22,68.22,68.22,0,0,341054,1301827
2007-04-24,201202,66.99,66.99,66.99,66.99,0,0,416729,1316177
2007-04-25,201202,68.27,68.27,68.27,68.27,0,0,353394,1314216
2007-04-26,201202,67.64,67.64,67.64,67.64,0,0,369119,1310886
2007-04-27,201202,68.74,68.74,68.74,68.74,0,0,361401,1316696
2007-04-30,201202,68.14,68.14,68.14,68.14,0,0,399915,1329295
2007-05-01,201202,68.14,68.14,68.14,68.14,0,0,473505,1341807
2007-05-02,201202,68.17,68.17,68.17,68.17,0,0,422339,1344889
2007-05-03,201202,68.16,68.16,68.16,68.16,0,0,384591,1359708
2007-05-04,201202,67.81,67.81,67.81,67.81,0,0,423920,1372279
2007-05-07,201202,67.32,67.32,67.32,67.32,0,0,467077,1383807
2007-05-08,201202,67.36,67.36,67.36,67.36,0,0,530419,1384509
2007-05-09,201202,67.24,67.24,67.24,67.24,0,0,533037,1406735
2007-05-10,201202,67.32,67.32,67.32,67.32,0,0,500939,1409086
2007-05-11,201202,67.81,67.81,67.81,67.81,0,0,416874,1434626
2007-05-14,201202,67.35,67.35,67.35,67.35,0,0,380294,1442851
2007-05-15,201202,67.74,67.74,67.74,67.74,0,0,391180,1448897
2007-05-16,201202,67.52,67.52,67.52,67.52,0,0,451174,1438911
2007-05-17,201202,68.45,68.45,68.45,68.45,0,0,562275,1428195
2007-05-18,201202,68.26,68.26,68.26,68.26,0,0,462302,1386605
2007-05-21,201202,68.88,68.88,68.88,68.88,0,0,390711,1363675
2007-05-22,201202,67.95,67.95,67.95,67.95,0,0,333874,1350183
2007-05-23,201202,68.53,68.53,68.53,68.53,0,0,403942,1366072
2007-05-24,201202,68.67,68.67,68.67,68.67,0,0,436691,1379184
2007-05-25,201202,69.06,69.06,69.06,69.06,0,0,241892,1382246
2007-05-29,201202,68.01,68.01,68.01,68.01,0,0,377798,1388590
2007-05-30,201202,68.4,68.4,68.4,68.4,0,0,403394,1384485
2007-05-31,201202,68.71,68.71,68.71,68.71,0,0,493688,1396811
2007-06-01,201202,69.53,69.53,69.53,69.53,0,0,423106,1392888
2007-06-04,201202,70.08,70.08,70.08,70.08,0,0,455195,1414542
2007-06-05,201202,69.67,69.67,69.67,69.67,0,0,391568,1423761
2007-06-06,201202,70.13,70.13,70.13,70.13,0,0,425817,1424668
2007-06-07,201202,70.57,70.57,70.57,70.57,0,0,587862,1428468
2007-06-08,201202,69.03,69.03,69.03,69.03,0,0,608829,1435920
2007-06-11,201202,70.5,70.5,70.5,70.5,0,0,459039,1418813
2007-06-12,201202,70.57,70.57,70.57,70.57,0,0,430322,1432636
2007-06-13,201202,71.11,71.11,71.11,71.11,0,0,491338,1436913
2007-06-14,201202,71.46,71.46,71.46,71.46,0,0,528866,1449707
2007-06-15,201202,71.59,71.59,71.59,71.59,0,0,415446,1438103
2007-06-18,201202,71.75,71.75,71.75,71.75,0,0,421289,1434290
2007-06-19,201202,71.34,71.34,71.34,71.34,0,0,472532,1422817
2007-06-20,201202,70.9,70.9,70.9,70.9,0,0,485785,1427585
2007-06-21,201202,70.48,70.48,70.48,70.48,0,0,402808,1416538
2007-06-22,201202,70.93,70.93,70.93,70.93,0,0,352095,1416653
2007-06-25,201202,71.66,71.66,71.66,71.66,0,0,452219,1433782
2007-06-26,201202,70.18,70.18,70.18,70.18,0,0,376371,1436152
2007-06-27,201202,70.02,70.02,70.02,70.02,0,0,542075,1439791
2007-06-28,201202,69.59,69.59,69.59,69.59,0,0,710576,1470159
2007-06-29,201202,71.05,71.05,71.05,71.05,0,0,424937,1474661
2007-07-02,201202,71.87,71.87,71.87,71.87,0,0,441716,1487122
2007-07-03,201202,71.91,71.91,71.91,71.91,0,0,285196,1499897
2007-07-05,201202,71.74,71.74,71.74,71.74,0,0,449311,1522035
2007-07-06,201202,72.03,72.03,72.03,72.03,0,0,488315,1529069
2007-07-09,201202,72.53,72.53,72.53,72.53,0,0,479783,1542743
2007-07-10,201202,73.01,73.01,73.01,73.01,0,0,433460,1546372
2007-07-11,201202,72.79,72.79,72.79,72.79,0,0,406965,1556070
2007-07-12,201202,72.66,72.66,72.66,72.66,0,0,486836,1550815
2007-07-13,201202,73.15,73.15,73.15,73.15,0,0,578609,1570706
2007-07-16,201202,72.36,72.36,72.36,72.36,0,0,567112,1579109
2007-07-17,201202,71.27,71.27,71.27,71.27,0,0,654310,1549446
2007-07-18,201202,72.02,72.02,72.02,72.02,0,0,532346,1539948
2007-07-19,201202,71.54,71.54,71.54,71.54,0,0,560265,1531146
2007-07-20,201202,70.75,70.75,70.75,70.75,0,0,363087,1510597
2007-07-23,201202,70.72,70.72,70.72,70.72,0,0,316027,1494157
2007-07-24,201202,70.55,70.55,70.55,70.55,0,0,444650,1485746
2007-07-25,201202,71.22,71.22,71.22,71.22,0,0,422588,1484522
2007-07-26,201202,70.26,70.26,70.26,70.26,0,0,515310,1492260
2007-07-27,201202,70.59,70.59,70.59,70.59,0,0,417736,1505691
2007-07-30,201202,70.02,70.02,70.02,70.02,0,0,390678,1502362
2007-07-31,201202,70.85,70.85,70.85,70.85,0,0,417249,1521237
2007-08-01,201202,71.26,71.26,71.26,71.26,0,0,656687,1537645
2007-08-02,201202,71.88,71.88,71.88,71.88,0,0,448849,1527326
2007-08-03,201202,71.85,71.85,71.85,71.85,0,0,437765,1518889
2007-08-06,201202,70.23,70.23,70.23,70.23,0,0,533797,1514467
2007-08-07,201202,70.76,70.76,70.76,70.76,0,0,571031,1504817
2007-08-08,201202,70.03,70.03,70.03,70.03,0,0,535751,1506759
2007-08-09,201202,69.88,69.88,69.88,69.88,0,0,586921,1513639
2007-08-10,201202,69.61,69.61,69.61,69.61,0,0,526426,1507188
2007-08-13,201202,68.77,68.77,68.77,68.77,4,4,558176,1520755
2007-08-14,201202,69.04,69.04,69.04,69.04,0,4,458635,1516963
