Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2013-11-20,201901,80.35,80.35,80.35,80.35,0,0,441925,1611270
2013-11-21,201901,79.91,79.91,79.91,79.91,0,0,481981,1628489
2013-11-22,201901,79.95,79.95,79.95,79.95,0,0,507901,1624898
2013-11-25,201901,80.35,80.35,80.35,80.35,0,0,532391,1640663
2013-11-26,201901,80.51,80.51,80.51,80.51,0,0,322593,1636454
2013-11-27,201901,80.35,80.35,80.35,80.35,0,0,442555,1634946
2013-11-29,201901,80.68,80.68,80.68,80.68,0,0,243641,1633492
2013-12-02,201901,80.79,80.79,80.79,80.79,0,0,465507,1629660
2013-12-03,201901,80.63,80.63,80.63,80.63,0,0,792886,1645686
2013-12-04,201901,80.48,80.48,80.48,80.48,0,0,830979,1654900
2013-12-05,201901,79.94,79.94,79.94,79.94,0,0,531988,1662885
2013-12-06,201901,80.17,80.17,80.17,80.17,0,0,510791,1658483
2013-12-09,201901,80.28,80.28,80.28,80.28,0,0,502710,1652263
2013-12-10,201901,80.12,80.12,80.12,80.12,0,0,642047,1661416
2013-12-11,201901,80.48,80.48,80.48,80.48,0,0,700689,1647172
2013-12-12,201901,80.22,80.22,80.22,80.22,0,0,508686,1660577
2013-12-13,201901,79.19,79.19,79.19,79.19,0,0,565130,1654422
2013-12-16,201901,79.54,79.54,79.54,79.54,0,0,430396,1644723
2013-12-17,201901,79.62,79.62,79.62,79.62,0,0,399663,1629694
2013-12-18,201901,78.97,78.97,78.97,78.97,0,0,528754,1605131
2013-12-19,201901,78.56,78.56,78.56,78.56,0,0,487319,1598885
2013-12-20,201901,78.3,78.3,78.3,78.3,0,0,350888,1599256
2013-12-23,201901,78.3,78.3,78.3,78.3,0,0,237553,1593757
2013-12-24,201901,78.23,78.23,78.23,78.23,0,0,138784,1598935
2013-12-26,201901,78.41,78.41,78.41,78.41,0,0,128074,1606347
2013-12-27,201901,78.54,78.54,78.54,78.54,0,0,288558,1615084
2013-12-30,201901,78.47,78.47,78.47,78.47,0,0,279621,1616378
2013-12-31,201901,78.24,78.24,78.24,78.24,0,0,264754,1615844
2014-01-02,201901,77.38,77.38,77.38,77.38,0,0,544194,1627752
2014-01-03,201901,77.11,77.11,77.11,77.11,0,0,487577,1629829
2014-01-06,201901,77.16,77.16,77.16,77.16,0,0,450955,1625721
2014-01-07,201901,76.23,76.23,76.23,76.23,0,0,466772,1619796
2014-01-08,201901,75.74,75.74,75.74,75.74,0,0,634152,1615459
2014-01-09,201901,76.05,76.05,76.05,76.05,0,0,628554,1604288
2014-01-10,201901,76.04,76.04,76.04,76.04,0,0,643418,1623131
2014-01-13,201901,75.96,75.96,75.96,75.96,0,0,512183,1625283
2014-01-14,201901,76.81,76.81,76.81,76.81,0,0,666467,1623027
2014-01-15,201901,77.19,77.19,77.19,77.19,0,0,670669,1617928
2014-01-16,201901,76.25,76.25,76.25,76.25,0,0,509874,1625214
2014-01-17,201901,76.19,76.19,76.19,76.19,0,0,489563,1611129
2014-01-21,201901,76.11,76.11,76.11,76.11,0,0,464299,1613293
2014-01-22,201901,76.01,76.01,76.01,76.01,0,0,543807,1597086
2014-01-23,201901,75.81,75.81,75.81,75.81,0,0,646012,1591311
2014-01-24,201901,76.2,76.2,76.2,76.2,0,0,493442,1590651
2014-01-27,201901,76.13,76.13,76.13,76.13,0,0,460727,1589981
2014-01-28,201901,76.36,76.36,76.36,76.36,0,0,444915,1591971
2014-01-29,201901,75.97,75.97,75.97,75.97,0,0,416634,1580621
2014-01-30,201901,75.77,75.77,75.77,75.77,0,0,426933,1580854
2014-01-31,201901,75.26,75.26,75.26,75.26,0,0,558549,1572413
2014-02-03,201901,75.61,75.61,75.61,75.61,0,0,611348,1561374
2014-02-04,201901,76.28,76.28,76.28,76.28,0,0,437880,1561179
2014-02-05,201901,77.49,77.49,77.49,77.49,0,0,514958,1571421
2014-02-06,201901,77.64,77.64,77.64,77.64,0,0,522693,1598023
2014-02-07,201901,78.05,78.05,78.05,78.05,0,0,617648,1616854
2014-02-10,201901,77.74,77.74,77.74,77.74,0,0,612841,1634885
2014-02-11,201901,78.28,78.28,78.28,78.28,0,0,573137,1646415
2014-02-12,201901,78.48,78.48,78.48,78.48,0,0,769751,1647981
2014-02-13,201901,78.67,78.67,78.67,78.67,0,0,551190,1649922
2014-02-14,201901,78.72,78.72,78.72,78.72,0,0,566499,1646525
2014-02-18,201901,78.06,78.06,78.06,78.06,0,0,631599,1650294
2014-02-19,201901,77.84,77.84,77.84,77.84,0,0,681572,1630872
2014-02-20,201901,78.18,78.18,78.18,78.18,0,0,418609,1626196
2014-02-21,201901,78.35,78.35,78.35,78.35,0,0,380072,1627270
2014-02-24,201901,78.57,78.57,78.57,78.57,0,0,370732,1642634
2014-02-25,201901,78.26,78.26,78.26,78.26,0,0,388665,1643886
2014-02-26,201901,78.37,78.37,78.37,78.37,0,0,424444,1652770
2014-02-27,201901,78.7,78.7,78.7,78.7,0,0,433976,1664866
2014-02-28,201901,78.95,78.95,78.95,78.95,0,0,353576,1670584
2014-03-03,201901,78.95,78.95,78.95,78.95,0,0,751831,1688375
2014-03-04,201901,78.88,78.88,78.88,78.88,0,0,467847,1687807
2014-03-05,201901,79.53,79.53,79.53,79.53,0,0,636967,1699860
2014-03-06,201901,80.03,80.03,80.03,80.03,0,0,710168,1704675
2014-03-07,201901,80.1,80.1,80.1,80.1,0,0,525729,1697511
2014-03-10,201901,79.84,79.84,79.84,79.84,0,0,528265,1692930
2014-03-11,201901,80.19,80.19,80.19,80.19,0,0,700365,1697240
2014-03-12,201901,80.11,80.11,80.11,80.11,0,0,1082134,1680177
2014-03-13,201901,80.48,80.48,80.48,80.48,0,0,686106,1675455
2014-03-14,201901,80.62,80.62,80.62,80.62,0,0,530524,1670107
2014-03-17,201901,80.16,80.16,80.16,80.16,0,0,551511,1644836
2014-03-18,201901,80.09,80.09,80.09,80.09,0,0,669463,1623266
2014-03-19,201901,79.95,79.95,79.95,79.95,0,0,666208,1622439
2014-03-20,201901,80.16,80.16,80.16,80.16,0,0,529376,1607734
2014-03-21,201901,80.25,80.25,80.25,80.25,0,0,392794,1602386
2014-03-24,201901,80.2,80.2,80.2,80.2,0,0,291684,1602695
2014-03-25,201901,79.86,79.86,79.86,79.86,0,0,403525,1604566
2014-03-26,201901,79.76,79.76,79.76,79.76,0,0,433991,1615318
2014-03-27,201901,79.59,79.59,79.59,79.59,0,0,456638,1626349
2014-03-28,201901,78.83,78.83,78.83,78.83,0,0,343851,1635713
2014-03-31,201901,79.23,79.23,79.23,79.23,0,0,340482,1642062
2014-04-01,201901,79.6,79.6,79.6,79.6,0,0,481045,1644507
2014-04-02,201901,80.57,80.57,80.57,80.57,0,0,478732,1649934
2014-04-03,201901,80.98,80.98,80.98,80.98,0,0,407557,1655470
2014-04-04,201901,80.83,80.83,80.83,80.83,0,0,457648,1662364
2014-04-07,201901,80.97,80.97,80.97,80.97,0,0,585779,1651723
2014-04-08,201901,80.79,80.79,80.79,80.79,0,0,741628,1655472
2014-04-09,201901,80.66,80.66,80.66,80.66,0,0,789212,1671646
2014-04-10,201901,80.79,80.79,80.79,80.79,0,0,532957,1688501
2014-04-11,201901,80.68,80.68,80.68,80.68,0,0,644537,1686163
2014-04-14,201901,80.76,80.76,80.76,80.76,0,0,589097,1671863
2014-04-15,201901,80.85,80.85,80.85,80.85,0,0,517573,1674276
2014-04-16,201901,81.0,81.0,81.0,81.0,0,0,748831,1658672
2014-04-17,201901,81.07,81.07,81.07,81.07,0,0,555756,1665272
2014-04-21,201901,81.49,81.49,81.49,81.49,0,0,424034,1651247
2014-04-22,201901,81.83,81.83,81.83,81.83,0,0,670048,1619737
2014-04-23,201901,81.77,81.77,81.77,81.77,0,0,517306,1624429
2014-04-24,201901,81.48,81.48,81.48,81.48,0,0,431085,1640120
2014-04-25,201901,81.37,81.37,81.37,81.37,0,0,420970,1636016
2014-04-28,201901,81.47,81.47,81.47,81.47,0,0,447235,1644007
2014-04-29,201901,81.39,81.39,81.39,81.39,0,0,450367,1651521
2014-04-30,201901,81.27,81.27,81.27,81.27,0,0,575133,1647200
2014-05-01,201901,81.21,81.21,81.21,81.21,0,0,511940,1641394
2014-05-02,201901,81.06,81.06,81.06,81.06,0,0,426339,1644465
2014-05-05,201901,81.09,81.09,81.09,81.09,0,0,362666,1645526
2014-05-06,201901,80.99,80.99,80.99,80.99,0,0,534900,1638412
2014-05-07,201901,81.46,81.46,81.46,81.46,0,0,612984,1635355
2014-05-08,201901,81.39,81.39,81.39,81.39,0,0,551072,1637593
2014-05-09,201901,81.15,81.15,81.15,81.15,0,0,558653,1636567
2014-05-12,201901,81.23,81.23,81.23,81.23,0,0,445512,1625807
2014-05-13,201901,81.46,81.46,81.46,81.46,0,0,565924,1627403
2014-05-14,201901,81.38,81.38,81.38,81.38,0,0,578514,1635404
2014-05-15,201901,81.52,81.52,81.52,81.52,0,0,723803,1616491
2014-05-16,201901,81.84,81.84,81.84,81.84,0,0,442749,1622485
2014-05-19,201901,81.76,81.76,81.76,81.76,0,0,536844,1613682
2014-05-20,201901,82.05,82.05,82.05,82.05,0,0,534889,1607523
2014-05-21,201901,82.07,82.07,82.07,82.07,0,0,612845,1628380
2014-05-22,201901,82.36,82.36,82.36,82.36,0,0,361794,1642794
2014-05-23,201901,82.62,82.62,82.62,82.62,0,0,340060,1633875
2014-05-27,201901,82.61,82.61,82.61,82.61,0,0,337164,1635600
2014-05-28,201901,83.07,83.07,83.07,83.07,0,0,497805,1632673
2014-05-29,201901,82.91,82.91,82.91,82.91,0,0,405592,1647782
2014-05-30,201901,83.16,83.16,83.16,83.16,0,0,340765,1652171
2014-06-02,201901,83.35,83.35,83.35,83.35,0,0,358291,1653615
2014-06-03,201901,83.49,83.49,83.49,83.49,0,0,367799,1664043
2014-06-04,201901,83.36,83.36,83.36,83.36,0,0,480168,1664693
2014-06-05,201901,84.0,84.0,84.0,84.0,0,0,437503,1664864
2014-06-06,201901,84.04,84.04,84.04,84.04,0,0,452986,1672477
2014-06-09,201901,84.27,84.27,84.27,84.27,0,0,643840,1676756
2014-06-10,201901,84.4,84.4,84.4,84.4,0,0,646595,1676336
2014-06-11,201901,84.64,84.64,84.64,84.64,0,0,486015,1690126
2014-06-12,201901,84.57,84.57,84.57,84.57,0,0,896614,1714444
2014-06-13,201901,84.82,84.82,84.82,84.82,0,0,703991,1716284
2014-06-16,201901,85.59,85.59,85.59,85.59,0,0,607810,1723390
2014-06-17,201901,86.25,86.25,86.25,86.25,0,0,726432,1721703
2014-06-18,201901,86.55,86.55,86.55,86.55,0,0,748697,1718764
2014-06-19,201901,87.04,87.04,87.04,87.04,0,0,781559,1709934
2014-06-20,201901,86.92,86.92,86.92,86.92,0,0,490372,1710195
2014-06-23,201901,87.25,87.25,87.25,87.25,0,0,362722,1707429
2014-06-24,201901,87.24,87.24,87.24,87.24,0,0,398730,1720856
2014-06-25,201901,87.79,87.79,87.79,87.79,0,0,617233,1736554
2014-06-26,201901,87.59,87.59,87.59,87.59,0,0,416809,1747055
2014-06-27,201901,87.81,87.81,87.81,87.81,0,0,273667,1743877
2014-06-30,201901,87.89,87.89,87.89,87.89,0,0,494267,1752640
2014-07-01,201901,88.71,88.71,88.71,88.71,0,0,507443,1759554
2014-07-02,201901,88.74,88.74,88.74,88.74,0,0,534968,1756088
2014-07-03,201901,88.91,88.91,88.91,88.91,0,0,386105,1749951
2014-07-07,201901,89.27,89.27,89.27,89.27,0,0,411475,1751556
2014-07-08,201901,88.89,88.89,88.89,88.89,0,0,581928,1742131
2014-07-09,201901,88.76,88.76,88.76,88.76,0,0,576913,1730695
2014-07-10,201901,88.31,88.31,88.31,88.31,0,0,605227,1728490
2014-07-11,201901,87.91,87.91,87.91,87.91,0,0,637532,1721593
2014-07-14,201901,88.55,88.55,88.55,88.55,0,0,634304,1724135
2014-07-15,201901,87.96,87.96,87.96,87.96,0,0,839302,1721704
2014-07-16,201901,87.36,87.36,87.36,87.36,0,0,643092,1708699
2014-07-17,201901,86.47,86.47,86.47,86.47,0,0,1135765,1684285
2014-07-18,201901,86.14,86.14,86.14,86.14,0,0,660072,1680017
2014-07-21,201901,87.72,87.72,87.72,87.72,0,0,695021,1665485
2014-07-22,201901,87.38,87.38,87.38,87.38,0,0,530023,1642836
2014-07-23,201901,87.92,87.92,87.92,87.92,0,0,619920,1627230
2014-07-24,201901,87.84,87.84,87.84,87.84,0,0,417636,1618694
2014-07-25,201901,88.14,88.14,88.14,88.14,0,0,573955,1617081
2014-07-28,201901,87.43,87.43,87.43,87.43,0,0,407793,1615272
2014-07-29,201901,87.29,87.29,87.29,87.29,0,0,542554,1628926
2014-07-30,201901,87.4,87.4,87.4,87.4,0,0,515748,1637506
2014-07-31,201901,86.93,86.93,86.93,86.93,0,0,715067,1617525
2014-08-01,201901,87.31,87.31,87.31,87.31,0,0,576815,1609508
2014-08-04,201901,87.59,87.59,87.59,87.59,0,0,398994,1593195
2014-08-05,201901,87.73,87.73,87.73,87.73,0,0,567327,1587187
2014-08-06,201901,87.98,87.98,87.98,87.98,0,0,559101,1580024
2014-08-07,201901,88.63,88.63,88.63,88.63,0,0,669428,1585865
2014-08-08,201901,88.13,88.13,88.13,88.13,0,0,552342,1578923
2014-08-11,201901,88.24,88.24,88.24,88.24,0,0,511561,1574690
2014-08-12,201901,88.32,88.32,88.32,88.32,0,0,541173,1583609
2014-08-13,201901,88.75,88.75,88.75,88.75,0,0,595679,1608311
2014-08-14,201901,87.93,87.93,87.93,87.93,0,0,825127,1620870
2014-08-15,201901,88.29,88.29,88.29,88.29,0,0,699855,1583901
2014-08-18,201901,88.34,88.34,88.34,88.34,0,0,522099,1576396
2014-08-19,201901,88.12,88.12,88.12,88.12,0,0,664771,1542337
2014-08-20,201901,87.64,87.64,87.64,87.64,100,100,409337,1543097
2014-08-21,201901,87.51,87.51,87.51,87.51,0,100,500980,1543324
2014-08-22,201901,88.04,88.04,88.04,88.04,0,100,385986,1548116
2014-08-25,201901,88.03,88.03,88.03,88.03,0,100,244240,1554074
2014-08-26,201901,88.13,88.13,88.13,88.13,0,100,350102,1550253
2014-08-27,201901,87.7,87.7,87.7,87.7,0,100,343334,1553255
2014-08-28,201901,87.16,87.16,87.16,87.16,0,100,556710,1554123
2014-08-29,201901,87.19,87.19,87.19,87.19,0,100,540348,1555614
2014-09-02,201901,86.52,86.52,86.52,86.52,0,100,665311,1559353
2014-09-03,201901,86.64,86.64,86.64,86.64,0,100,587396,1553457
2014-09-04,201901,86.65,86.65,86.65,86.65,0,100,508778,1539920
2014-09-05,201901,86.68,86.68,86.68,86.68,0,100,508858,1539501
2014-09-08,201901,86.99,86.99,86.99,86.99,0,100,600325,1554218
2014-09-09,201901,87.17,87.17,87.17,87.17,0,100,661834,1553516
2014-09-10,201901,87.26,87.26,87.26,87.26,0,100,695644,1563009
2014-09-11,201901,87.33,87.33,87.33,87.33,0,100,952291,1554429
2014-09-12,201901,87.2,87.2,87.2,87.2,0,100,659712,1555052
2014-09-15,201901,87.24,87.24,87.24,87.24,0,100,534680,1547565
2014-09-16,201901,87.44,87.44,87.44,87.44,0,100,687250,1528614
2014-09-17,201901,87.24,87.24,87.24,87.24,0,100,667486,1507660
2014-09-18,201901,87.05,87.05,87.05,87.05,0,100,534855,1498764
2014-09-19,201901,87.18,87.18,87.18,87.18,0,100,521571,1478614
2014-09-22,201901,86.97,86.97,86.97,86.97,0,100,432299,1479467
2014-09-23,201901,86.62,86.62,86.62,86.62,0,100,492612,1479904
2014-09-24,201901,86.24,86.24,86.24,86.24,0,100,636691,1479119
2014-09-25,201901,86.22,86.22,86.22,86.22,0,100,530887,1472104
2014-09-26,201901,85.77,85.77,85.77,85.77,0,100,528843,1474975
2014-09-29,201901,85.23,85.23,85.23,85.23,0,100,542293,1478676
2014-09-30,201901,84.39,84.39,84.39,84.39,0,100,873849,1485856
2014-10-01,201901,84.56,84.56,84.56,84.56,0,100,803148,1501612
2014-10-02,201901,83.47,83.47,83.47,83.47,0,100,1004463,1502986
2014-10-03,201901,82.98,82.98,82.98,82.98,0,100,698905,1500129
2014-10-06,201901,83.67,83.67,83.67,83.67,0,100,554905,1503283
2014-10-07,201901,83.51,83.51,83.51,83.51,0,100,704152,1503764
2014-10-08,201901,83.7,83.7,83.7,83.7,0,100,841744,1510487
2014-10-09,201901,84.03,84.03,84.03,84.03,0,100,768424,1521755
2014-10-10,201901,84.19,84.19,84.19,84.19,0,100,811323,1514803
2014-10-13,201901,84.84,84.84,84.84,84.84,0,100,624468,1516132
2014-10-14,201901,84.21,84.21,84.21,84.21,0,100,1102302,1537452
2014-10-15,201901,82.75,82.75,82.75,82.75,0,100,1100618,1545888
2014-10-16,201901,81.57,81.57,81.57,81.57,0,100,1017539,1515879
2014-10-17,201901,81.53,81.53,81.53,81.53,0,100,603904,1505643
2014-10-20,201901,80.64,80.64,80.64,80.64,0,100,594776,1483555
2014-10-21,201901,79.74,79.74,79.74,79.74,0,100,549236,1459981
2014-10-22,201901,79.29,79.29,79.29,79.29,0,100,646836,1451326
2014-10-23,201901,79.89,79.89,79.89,79.89,0,100,634598,1454375
2014-10-24,201901,80.3,80.3,80.3,80.3,0,100,492554,1464908
2014-10-27,201901,80.08,80.08,80.08,80.08,0,100,471933,1474560
2014-10-28,201901,80.34,80.34,80.34,80.34,0,100,393356,1476289
2014-10-29,201901,80.71,80.71,80.71,80.71,0,100,541260,1482292
2014-10-30,201901,80.49,80.49,80.49,80.49,0,100,461960,1482053
2014-10-31,201901,80.93,80.93,80.93,80.93,0,100,516555,1488155
2014-11-03,201901,81.44,81.44,81.44,81.44,0,100,727522,1491419
2014-11-04,201901,80.98,80.98,80.98,80.98,0,100,867239,1498736
2014-11-05,201901,80.73,80.73,80.73,80.73,0,100,840911,1506831
2014-11-06,201901,80.96,80.96,80.96,80.96,0,100,536505,1506627
2014-11-07,201901,80.66,80.66,80.66,80.66,0,100,623985,1500971
2014-11-10,201901,80.25,80.25,80.25,80.25,0,100,610936,1502578
2014-11-11,201901,80.63,80.63,80.63,80.63,0,100,633066,1509371
2014-11-12,201901,80.44,80.44,80.44,80.44,0,100,718190,1518781
2014-11-13,201901,78.86,78.86,78.86,78.86,0,100,883111,1533506
2014-11-14,201901,79.79,79.79,79.79,79.79,0,100,716997,1521453
2014-11-17,201901,79.2,79.2,79.2,79.99,1,101,593325,1464535
2014-11-18,201901,79.71,79.71,79.71,79.71,0,101,531050,1459175
2014-11-19,201901,79.12,79.12,79.12,79.12,0,101,792006,1418284
2014-11-20,201901,79.41,79.41,79.41,79.41,0,101,491994,1395705
2014-11-21,201901,80.28,80.28,80.28,80.28,0,101,474301,1387667
2014-11-24,201901,79.95,79.95,79.95,79.95,0,101,349280,1379820
2014-11-25,201901,79.45,79.45,79.45,79.45,0,101,483111,1386635
2014-11-26,201901,79.88,79.88,79.88,79.88,0,101,447212,1397825
2014-11-28,201901,76.24,76.24,76.24,76.24,0,101,883726,1432110
2014-12-01,201901,78.04,78.04,78.04,78.04,0,101,853819,1433828
2014-12-02,201901,76.81,76.81,76.81,76.81,0,101,595882,1439654
2014-12-03,201901,76.73,76.73,76.73,76.73,0,101,525290,1449551
2014-12-04,201901,75.29,75.29,75.29,75.29,0,101,459073,1444040
2014-12-05,201901,74.04,74.04,74.04,74.04,0,101,518358,1432665
2014-12-08,201901,71.83,71.83,71.83,71.83,0,101,701564,1440814
2014-12-09,201901,72.14,72.14,72.14,72.14,0,101,633292,1445093
2014-12-10,201901,70.55,70.55,70.55,70.55,0,101,873464,1451600
2014-12-11,201901,70.4,70.4,70.4,70.4,0,101,776546,1473267
2014-12-12,201901,68.49,68.49,68.49,68.49,0,101,853278,1483667
2014-12-15,201901,67.1,67.1,67.1,67.1,0,101,897513,1498917
2014-12-16,201901,66.05,66.05,66.05,66.05,0,101,1176808,1475862
2014-12-17,201901,66.54,66.54,66.54,66.54,0,101,1013407,1460028
2014-12-18,201901,66.44,66.44,66.44,66.44,0,101,899531,1444565
