Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2007-10-17,200910,76.78,76.78,76.78,76.78,0,0,3285,236148
2007-10-18,200910,78.5,78.5,78.5,78.5,0,0,7840,239741
2007-10-19,200910,78.0,78.0,78.0,78.0,0,0,5067,243712
2007-10-22,200910,78.95,78.95,78.95,78.95,0,0,4959,243998
2007-10-23,200910,78.75,78.75,78.75,78.75,0,0,4657,245742
2007-10-24,200910,77.95,77.95,77.95,77.95,0,0,7532,245289
2007-10-25,200910,78.95,78.95,78.95,78.95,0,0,6163,246758
2007-10-26,200910,79.55,79.55,79.55,79.55,0,0,5185,248412
2007-10-29,200910,79.85,79.85,79.85,79.85,0,0,3444,248850
2007-10-30,200910,79.35,79.35,79.35,79.35,0,0,9385,248750
2007-10-31,200910,79.4,79.4,79.4,79.4,0,0,8447,248032
2007-11-01,200910,78.8,78.8,78.8,78.8,0,0,10660,244297
2007-11-02,200910,79.15,79.15,79.15,79.15,0,0,7203,244087
2007-11-05,200910,78.8,78.8,78.8,78.8,0,0,8069,244999
2007-11-06,200910,79.65,79.65,79.65,79.65,0,0,11507,250060
2007-11-07,200910,80.1,80.1,80.1,80.1,0,0,19044,251238
2007-11-08,200910,79.4,79.4,79.4,79.4,0,0,15458,251603
2007-11-09,200910,79.0,79.0,79.0,79.0,0,0,15420,245658
2007-11-12,200910,77.6,77.6,77.6,77.6,0,0,17167,239863
2007-11-13,200910,77.7,77.7,77.7,77.7,0,0,22983,236528
2007-11-14,200910,77.9,77.9,77.9,77.9,0,0,8361,234154
2007-11-15,200910,76.8,76.8,76.8,76.8,0,0,14829,227392
2007-11-16,200910,77.7,77.7,77.7,77.7,0,0,11145,222606
2007-11-19,200910,77.1,77.1,77.1,77.1,0,0,11046,219594
2007-11-20,200910,77.05,77.05,77.05,77.05,0,0,9447,218535
2007-11-21,200910,77.0,77.0,77.0,77.0,0,0,9385,212736
2007-11-26,200910,76.85,76.85,76.85,76.85,0,0,5027,210400
2007-11-27,200910,76.45,76.45,76.45,76.45,0,0,7143,209170
2007-11-28,200910,77.9,77.9,77.9,77.9,0,0,4700,209646
2007-11-29,200910,77.95,77.95,77.95,77.95,0,0,2887,209625
2007-11-30,200910,76.65,76.65,76.65,76.65,0,0,11774,210389
2007-12-03,200910,76.55,76.55,76.55,76.55,0,0,3995,210832
2007-12-04,200910,76.65,76.65,76.65,76.65,0,0,3615,210401
2007-12-05,200910,77.0,77.0,77.0,77.0,0,0,2334,210379
2007-12-06,200910,77.3,77.3,77.3,77.3,0,0,2768,210839
2007-12-07,200910,78.3,78.3,78.3,78.3,0,0,2270,212858
2007-12-10,200910,78.3,78.3,78.3,78.3,0,0,2346,213859
2007-12-11,200910,78.05,78.05,78.05,78.05,0,0,3107,213025
2007-12-12,200910,79.2,79.2,79.2,79.2,0,0,7629,215854
2007-12-13,200910,78.95,78.95,78.95,78.95,0,0,2012,216250
2007-12-14,200910,79.05,79.05,79.05,79.05,0,0,6686,219221
2007-12-17,200910,79.1,79.1,79.1,79.1,0,0,5226,220672
2007-12-18,200910,79.35,79.35,79.35,79.35,0,0,2357,220048
2007-12-19,200910,79.35,79.35,79.35,79.35,0,0,5947,223340
2007-12-20,200910,79.35,79.35,79.35,79.35,0,0,3299,223879
2007-12-21,200910,79.9,79.9,79.9,79.9,0,0,3049,224449
2007-12-26,200910,79.9,79.9,79.9,79.9,0,0,3497,226168
2007-12-27,200910,80.5,80.5,80.5,80.5,0,0,6653,229201
2007-12-28,200910,80.5,80.5,80.5,80.5,0,0,4573,231438
2007-12-31,200910,80.7,80.7,80.7,80.7,0,0,6157,231807
2008-01-02,200910,81.45,81.45,81.45,81.45,0,0,6455,241944
2008-01-03,200910,81.35,81.35,81.35,81.35,0,0,4353,243577
2008-01-04,200910,81.3,81.3,81.3,81.3,0,0,3138,245592
2008-01-07,200910,81.4,81.4,81.4,81.4,0,0,2184,249072
2008-01-08,200910,82.0,82.0,82.0,82.0,0,0,5363,259197
2008-01-09,200910,82.0,82.0,82.0,82.0,0,0,3992,261151
2008-01-10,200910,81.25,81.25,81.25,81.25,0,0,8901,254743
2008-01-11,200910,83.55,83.55,83.55,83.55,0,0,10690,259687
2008-01-14,200910,84.9,84.9,84.9,84.9,0,0,33822,270896
2008-01-15,200910,85.4,85.4,85.4,85.4,0,0,10855,275922
2008-01-16,200910,85.05,85.05,85.05,85.05,0,0,7759,273764
2008-01-17,200910,85.45,85.45,85.45,85.45,0,0,3894,280034
2008-01-18,200910,84.4,84.4,84.4,84.4,0,0,3012,281816
2008-01-22,200910,83.45,83.45,83.45,83.45,0,0,2291,280898
2008-01-23,200910,80.45,80.45,80.45,80.45,0,0,19611,270746
2008-01-24,200910,82.4,82.4,82.4,82.4,0,0,5272,264790
2008-01-25,200910,81.65,81.65,81.65,81.65,0,0,4744,263524
2008-01-28,200910,82.21,82.21,82.21,82.21,0,0,2064,266689
2008-01-29,200910,82.15,82.15,82.15,82.15,0,0,2567,267384
2008-01-30,200910,82.2,82.2,82.2,82.2,0,0,5356,266517
2008-01-31,200910,81.6,81.6,81.6,81.6,0,0,8606,270994
2008-02-01,200910,82.14,82.14,82.14,82.14,0,0,8689,278576
2008-02-04,200910,82.5,82.5,82.5,82.5,0,0,4851,280019
2008-02-05,200910,81.7,81.7,81.7,81.7,0,0,5011,279027
2008-02-06,200910,81.74,81.74,81.74,81.74,0,0,8577,284427
2008-02-07,200910,81.8,81.8,81.8,81.8,0,0,11704,283786
2008-02-08,200910,82.6,82.6,82.6,82.6,0,0,11925,278651
2008-02-11,200910,80.95,80.95,80.95,80.95,0,0,9873,270963
2008-02-12,200910,80.4,80.4,80.4,80.4,0,0,8665,266923
2008-02-13,200910,80.15,80.15,80.15,80.15,0,2,8280,269965
2008-02-14,200910,82.0,82.0,82.0,82.0,0,2,17531,275667
2008-02-15,200910,81.5,81.5,81.5,81.5,0,5,10746,264956
2008-02-19,200910,82.63,82.63,82.63,82.63,0,5,4293,259289
2008-02-20,200910,84.2,84.2,84.2,84.2,0,5,4493,264438
2008-02-21,200910,85.9,85.9,85.9,85.9,0,5,9913,278667
2008-02-22,200910,87.1,87.1,87.1,87.1,0,5,8955,280124
2008-02-25,200910,89.17,89.17,89.17,89.17,0,5,6508,286535
2008-02-26,200910,89.5,89.5,89.5,89.5,0,5,5642,290439
2008-02-27,200910,87.9,87.9,87.9,87.9,0,5,3081,293848
2008-02-28,200910,89.3,89.3,89.3,89.3,0,5,3272,296853
2008-02-29,200910,90.7,90.7,90.7,90.7,0,5,2681,301645
2008-03-03,200910,93.7,93.7,93.7,93.7,0,5,20411,302683
2008-03-04,200910,97.21,97.21,97.21,97.7,50,55,54388,299206
2008-03-05,200910,97.5,97.5,97.5,98.35,3,58,83471,297898
2008-03-06,200910,97.85,97.85,97.75,94.91,9,67,41132,294238
2008-03-07,200910,90.91,90.91,90.91,90.91,0,67,21797,293505
2008-03-10,200910,88.69,88.69,88.69,88.69,0,67,32981,294010
2008-03-11,200910,92.5,92.5,92.5,92.5,0,67,40891,293356
2008-03-12,200910,94.33,94.33,94.33,94.33,0,67,50962,291830
2008-03-13,200910,93.21,93.21,93.21,93.21,0,67,22693,288610
2008-03-14,200910,91.91,91.91,91.91,91.91,0,67,29435,291484
2008-03-17,200910,87.91,87.91,87.91,87.91,0,67,25488,291768
2008-03-18,200910,87.0,87.0,87.0,87.31,2,69,40889,290193
2008-03-19,200910,84.31,84.31,84.31,84.31,0,69,35997,288906
2008-03-20,200910,83.92,83.92,83.92,83.92,0,69,53837,284456
2008-03-24,200910,86.8,86.8,86.8,86.8,0,69,27901,272839
2008-03-25,200910,89.09,89.09,89.09,89.09,0,69,45491,272330
2008-03-26,200910,88.49,88.49,88.49,88.49,0,69,22387,272153
2008-03-27,200910,87.35,87.35,87.35,87.35,0,69,15799,271628
2008-03-28,200910,86.15,86.15,86.15,86.15,0,69,26084,270760
2008-03-31,200910,83.61,83.61,83.61,83.61,0,69,38126,268675
2008-04-01,200910,85.99,85.99,85.99,85.99,0,69,72045,271427
2008-04-02,200910,85.8,85.8,85.8,85.8,0,69,20469,268782
2008-04-03,200910,86.15,86.15,86.15,86.15,0,69,20504,266873
2008-04-04,200910,86.48,86.48,86.48,86.48,0,69,19108,267001
2008-04-07,200910,88.15,88.15,88.15,88.15,0,69,42063,268514
2008-04-08,200910,87.68,87.68,87.68,87.68,0,69,29516,266878
2008-04-09,200910,89.8,89.8,89.8,89.8,0,69,39701,269161
2008-04-10,200910,91.05,91.05,91.05,91.05,0,69,42749,269176
2008-04-11,200910,90.87,90.87,90.87,90.87,0,69,42318,269072
2008-04-14,200910,91.01,91.01,91.01,91.01,0,69,35018,261794
2008-04-15,200910,92.7,92.7,92.7,92.7,0,69,26139,261891
2008-04-16,200910,91.51,91.51,91.51,91.51,0,69,50054,261541
2008-04-17,200910,91.12,91.12,91.12,90.23,1,68,27052,259348
2008-04-18,200910,90.11,90.11,90.11,90.11,0,68,20611,256274
2008-04-21,200910,90.0,90.0,90.0,88.92,8,71,28581,256484
2008-04-22,200910,90.38,90.38,90.38,90.38,0,71,18736,253186
2008-04-23,200910,89.98,89.98,89.98,89.98,0,71,18251,251832
2008-04-24,200910,88.29,88.29,88.29,88.29,0,71,18593,250451
2008-04-25,200910,87.71,87.71,87.71,87.71,0,71,20941,246889
2008-04-28,200910,88.73,88.73,88.73,87.8,3,74,13396,245950
2008-04-29,200910,86.97,86.97,86.97,86.97,0,74,21200,246090
2008-04-30,200910,87.57,87.57,87.57,87.57,0,74,24236,246983
2008-05-01,200910,85.44,85.44,85.44,85.44,0,74,35699,248739
2008-05-02,200910,85.6,85.6,85.6,85.6,0,74,15610,247718
2008-05-05,200910,85.21,85.21,85.21,85.21,0,74,9203,247805
2008-05-06,200910,86.7,86.7,86.7,86.7,0,74,16714,247979
2008-05-07,200910,86.5,86.5,86.5,86.5,0,74,10371,248306
2008-05-08,200910,87.09,87.09,87.09,87.09,0,74,11795,248532
2008-05-09,200910,88.06,88.06,88.06,88.06,0,74,20714,250655
2008-05-12,200910,86.78,87.08,86.72,88.1,25,99,16449,252756
2008-05-13,200910,87.91,87.91,87.91,87.91,0,99,11665,253103
2008-05-14,200910,87.04,87.04,87.04,87.04,0,99,16011,255327
2008-05-15,200910,87.22,87.22,87.22,87.22,0,99,11758,256512
2008-05-16,200910,88.62,88.62,88.62,88.62,0,99,22463,259699
2008-05-19,200910,88.74,88.74,88.74,88.74,0,99,15519,260837
2008-05-20,200910,87.87,87.87,87.87,87.87,0,99,31716,264285
2008-05-21,200910,88.23,88.23,88.23,88.23,0,99,17808,265231
2008-05-22,200910,87.16,87.16,87.16,87.16,0,99,25001,268828
2008-05-23,200910,86.73,86.73,86.73,86.73,0,99,29928,267224
2008-05-27,200910,84.01,84.01,84.01,84.01,0,99,33593,268743
