Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2019-03-28,202003,149.55,149.55,149.55,149.55,0,0,10366,53800
2019-03-29,202003,151.25,151.25,151.25,151.25,0,0,13378,52791
2019-04-01,202003,152.0,153.0,152.0,153.075,7,2,14593,51262
2019-04-02,202003,153.15,153.4,151.4,152.25,22,14,18244,50526
2019-04-03,202003,151.225,151.95,150.65,151.65,10,17,17592,49617
2019-04-04,202003,152.125,152.875,151.725,152.5,27,41,24506,49608
2019-04-05,202003,152.55,152.925,151.4,152.175,31,59,22367,48905
2019-04-08,202003,151.775,155.0,151.775,154.0,29,68,20966,49217
2019-04-09,202003,153.825,154.875,153.325,154.65,46,98,15640,49960
2019-04-10,202003,154.425,154.625,153.4,154.625,103,155,16047,50974
2019-04-11,202003,154.475,155.8,153.975,155.8,136,221,17940,52112
2019-04-12,202003,155.45,155.6,155.0,155.45,9,222,13068,53207
2019-04-15,202003,155.525,156.0,155.325,156.0,23,231,13746,53245
2019-04-16,202003,155.675,156.875,155.65,156.6,21,236,16818,54179
2019-04-17,202003,156.5,156.8,156.1,156.55,43,256,13186,54954
2019-04-18,202003,157.0,157.625,156.35,157.5,90,293,17946,56164
2019-04-22,202003,156.975,156.975,155.5,156.1,61,310,15044,55386
2019-04-23,202003,157.0,157.0,155.8,155.975,38,328,13965,53423
2019-04-24,202003,155.45,155.45,153.4,153.75,108,364,19815,53977
2019-04-25,202003,152.8,153.175,150.35,150.4,66,380,18067,53330
2019-04-26,202003,150.05,151.45,149.825,150.45,92,400,21687,51553
2019-04-29,202003,150.4,150.4,148.475,148.8,51,399,18686,50056
2019-04-30,202003,148.05,149.125,147.075,147.175,28,399,17166,49960
2019-05-01,202003,147.075,147.975,146.275,146.925,34,407,15941,49666
2019-05-02,202003,145.5,145.5,144.7,144.775,58,422,17234,50156
2019-05-03,202003,144.375,144.75,143.75,143.775,59,436,16546,50236
2019-05-06,202003,143.1,144.7,140.1,142.775,136,478,19380,49429
2019-05-07,202003,143.525,144.35,142.925,143.75,83,491,14378,48562
2019-05-08,202003,143.5,144.275,141.75,142.05,81,524,13322,48342
2019-05-09,202003,141.75,142.825,140.725,142.35,132,527,19341,49091
2019-05-10,202003,142.925,146.2,142.375,144.8,183,580,18003,49740
2019-05-13,202003,144.175,144.175,142.2,142.25,103,595,17871,50058
2019-05-14,202003,142.5,143.875,140.9,141.1,70,614,14590,50131
2019-05-15,202003,141.1,141.35,140.25,140.5,46,618,11943,50729
2019-05-16,202003,140.4,142.675,139.325,141.625,138,646,15524,51103
2019-05-17,202003,143.125,144.4,142.95,143.675,174,701,15061,50439
2019-05-20,202003,144.075,144.075,142.4,143.35,120,712,12608,50400
2019-05-21,202003,142.825,143.6,141.6,142.05,141,762,12911,50836
2019-05-22,202003,141.475,142.225,140.975,141.8,45,774,8584,51224
2019-05-23,202003,142.3,142.375,140.925,142.125,61,783,9442,51810
2019-05-24,202003,141.975,142.875,141.325,141.725,128,840,10812,51479
2019-05-28,202003,142.25,142.25,139.85,140.8,199,973,14394,49698
2019-05-29,202003,139.55,141.15,139.275,140.55,317,1077,18884,50135
2019-05-30,202003,140.4,141.0,136.4,136.65,361,1203,17575,50533
2019-05-31,202003,136.65,138.225,132.175,132.775,612,1400,23292,50392
2019-06-03,202003,133.875,135.45,131.975,132.8,458,1379,25227,49944
2019-06-04,202003,133.0,136.425,132.975,136.2,142,1446,14924,49518
2019-06-05,202003,136.725,138.275,135.6,138.175,181,1466,17482,48559
2019-06-06,202003,138.525,138.675,136.2,138.05,153,1486,12487,48530
2019-06-07,202003,137.975,138.3,135.025,135.425,121,1471,11760,48613
2019-06-10,202003,137.5,138.875,136.8,137.975,109,1500,17436,48394
2019-06-11,202003,137.725,139.15,136.525,137.5,178,1543,12449,48144
2019-06-12,202003,137.125,137.55,133.7,136.3,244,1586,18162,48094
2019-06-13,202003,135.375,135.475,133.075,134.225,381,1723,14021,48194
2019-06-14,202003,133.775,134.25,132.675,133.075,328,1839,9989,48353
2019-06-17,202003,132.2,134.375,132.025,134.05,252,1827,13733,48434
2019-06-18,202003,134.525,135.525,134.35,135.1,120,1830,9623,48199
2019-06-19,202003,135.625,135.75,134.675,135.35,129,1871,8863,48518
2019-06-20,202003,135.65,135.65,133.575,133.75,97,1918,10761,48787
2019-06-21,202003,133.575,133.575,131.775,132.7,187,1936,11709,48959
2019-06-24,202003,131.825,132.625,130.45,130.65,121,1932,13828,49519
2019-06-25,202003,130.65,131.075,130.175,130.425,100,1931,8289,49507
2019-06-26,202003,131.475,134.8,131.475,134.65,328,1998,15782,49907
2019-06-27,202003,134.825,135.175,133.5,133.9,115,1990,11691,49359
2019-06-28,202003,134.225,136.9,132.975,134.025,200,1953,20720,48783
2019-07-01,202003,135.15,136.625,134.675,135.775,90,1978,16388,49099
2019-07-02,202003,136.5,137.2,135.375,136.95,174,2000,16778,49579
2019-07-03,202003,136.875,137.1,135.0,135.5,102,2001,11145,49613
2019-07-05,202003,136.525,137.45,136.15,136.875,115,2023,11126,50227
2019-07-08,202003,136.875,137.325,136.125,136.9,165,2079,17307,50168
2019-07-09,202003,137.45,140.725,137.15,140.275,317,2085,25385,49641
2019-07-10,202003,140.075,140.9,139.125,140.65,361,2146,21908,49156
2019-07-11,202003,140.925,141.25,140.1,140.875,202,2214,16187,48913
2019-07-12,202003,140.675,140.775,138.925,139.875,349,2314,19163,48761
2019-07-15,202003,139.275,140.225,138.65,140.075,115,2318,11005,48568
2019-07-16,202003,140.275,140.575,139.3,139.5,69,2340,8750,48256
2019-07-17,202003,139.175,139.175,137.55,138.45,75,2326,10614,47884
2019-07-18,202003,138.55,138.925,137.0,137.4,77,2333,8764,47990
2019-07-19,202003,137.125,138.0,137.0,137.9,58,2334,8960,47790
2019-07-22,202003,138.425,140.0,137.725,139.9,188,2394,12458,47356
2019-07-23,202003,139.975,140.025,138.95,139.95,115,2434,9975,47437
2019-07-24,202003,139.7,140.35,139.325,140.25,101,2430,8308,47626
2019-07-25,202003,140.275,140.475,139.525,140.0,183,2496,10886,47542
2019-07-26,202003,140.0,140.475,139.55,140.375,164,2519,16202,48042
2019-07-29,202003,140.5,140.7,139.125,139.55,160,2576,14524,46910
2019-07-30,202003,139.4,140.55,138.875,140.075,270,2663,15519,47058
2019-07-31,202003,139.625,139.7,137.75,138.825,210,2624,13739,47191
