Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2019-09-27,202108,1548.3,1548.3,1548.3,1548.3,0,0,479329,629466
2019-09-30,202108,1514.5,1514.5,1514.5,1514.5,0,0,463099,610343
2019-10-01,202108,1530.2,1530.2,1530.2,1530.2,0,0,469550,604885
2019-10-02,202108,1549.0,1549.0,1549.0,1549.0,0,0,411971,615257
2019-10-03,202108,1552.5,1552.5,1552.5,1552.5,0,0,422050,619747
2019-10-04,202108,1551.9,1551.9,1551.9,1551.9,0,0,363161,619984
2019-10-07,202108,1543.7,1543.7,1543.7,1543.7,0,0,271393,614549
2019-10-08,202108,1543.1,1543.1,1543.1,1543.1,0,0,386854,616957
2019-10-09,202108,1552.3,1552.3,1552.3,1552.3,0,0,299916,619977
2019-10-10,202108,1540.9,1540.9,1540.9,1540.9,0,0,430781,614755
2019-10-11,202108,1529.8,1529.8,1529.8,1529.8,0,0,512274,605365
2019-10-14,202108,1539.1,1539.1,1539.1,1539.1,0,0,238924,606080
2019-10-15,202108,1525.1,1525.1,1525.1,1525.1,0,0,323356,607387
2019-10-16,202108,1535.4,1535.4,1535.4,1535.4,0,0,391894,610889
2019-10-17,202108,1539.8,1539.8,1539.8,1539.8,0,0,317820,620519
2019-10-18,202108,1535.0,1535.0,1535.0,1535.0,0,0,247326,621092
2019-10-21,202108,1529.3,1529.3,1529.3,1529.3,0,0,304067,625390
2019-10-22,202108,1528.8,1528.8,1528.8,1528.8,0,0,217587,625528
2019-10-23,202108,1537.1,1537.1,1537.1,1537.1,0,0,251307,637457
2019-10-24,202108,1546.2,1546.2,1546.2,1546.2,0,0,315736,652554
2019-10-25,202108,1548.8,1556.7,1548.8,1547.7,2,0,381174,659371
2019-10-28,202108,1552.0,1552.0,1552.0,1538.7,1,1,328553,650352
2019-10-29,202108,1533.5,1533.5,1533.5,1533.5,0,1,321305,643442
2019-10-30,202108,1539.4,1539.4,1539.4,1539.4,0,1,391489,647538
2019-10-31,202108,1556.9,1556.9,1556.9,1556.9,0,1,417662,681205
2019-11-01,202108,1554.4,1554.4,1554.4,1554.4,0,1,409760,681159
2019-11-04,202108,1554.8,1554.8,1554.8,1554.8,0,1,294879,688722
2019-11-05,202108,1528.0,1528.0,1528.0,1528.0,0,1,739352,690181
2019-11-06,202108,1534.7,1534.7,1534.7,1537.4,1,2,348543,693184
2019-11-07,202108,1511.7,1511.7,1511.7,1511.7,0,2,827696,708244
2019-11-08,202108,1510.4,1510.4,1510.4,1510.4,0,2,523247,702861
2019-11-11,202108,1502.3,1502.3,1502.3,1502.3,0,2,365074,704741
2019-11-12,202108,1498.6,1498.6,1498.6,1498.6,0,2,531012,708463
2019-11-13,202108,1508.5,1508.5,1508.5,1508.5,0,2,403268,716593
2019-11-14,202108,1518.5,1518.5,1518.5,1518.5,0,2,370369,714805
2019-11-15,202108,1513.6,1513.6,1513.6,1513.6,0,2,290133,710717
2019-11-18,202108,1516.9,1516.9,1516.9,1516.9,0,2,376432,717956
2019-11-19,202108,1519.2,1519.2,1519.2,1519.2,1,1,351154,719211
2019-11-20,202108,1518.1,1518.1,1518.1,1518.1,0,1,441166,717855
2019-11-21,202108,1507.6,1507.6,1507.6,1507.6,0,1,474297,702645
2019-11-22,202108,1508.0,1508.0,1508.0,1508.0,0,1,425668,692465
2019-11-25,202108,1501.8,1501.8,1501.8,1501.8,0,1,436742,661972
2019-11-26,202108,1504.7,1504.7,1504.7,1504.7,0,1,684670,669268
2019-11-27,202108,1498.5,1498.5,1498.5,1498.5,0,1,345221,669388
2019-11-29,202108,1510.7,1510.7,1510.7,1510.7,0,1,288735,674822
2019-12-02,202108,1507.3,1507.3,1507.3,1507.3,0,1,342422,672182
2019-12-03,202108,1522.8,1522.8,1522.8,1522.8,0,1,425925,701016
2019-12-04,202108,1518.7,1518.7,1518.7,1518.7,0,1,341195,699078
2019-12-05,202108,1521.7,1521.7,1521.7,1521.7,0,1,250302,700602
2019-12-06,202108,1504.2,1504.2,1504.2,1504.2,0,1,342389,693117
2019-12-09,202108,1505.6,1505.6,1505.6,1505.6,0,1,195198,690989
2019-12-10,202108,1508.9,1508.9,1508.9,1508.9,0,1,245832,690003
2019-12-11,202108,1515.8,1515.8,1515.8,1515.8,0,1,283584,700866
2019-12-12,202108,1513.6,1513.6,1513.6,1513.6,0,1,423528,702900
2019-12-13,202108,1523.0,1523.0,1523.0,1523.0,0,1,371118,711754
2019-12-16,202108,1523.2,1523.2,1523.2,1523.2,0,1,174610,711378
2019-12-17,202108,1523.5,1523.5,1523.5,1523.5,0,1,189380,716987
2019-12-18,202108,1521.0,1521.0,1521.0,1521.0,0,1,210819,717534
2019-12-19,202108,1526.6,1526.6,1526.6,1526.6,0,1,212390,728368
2019-12-20,202108,1523.1,1523.1,1523.1,1523.1,0,1,143679,726533
2019-12-23,202108,1531.2,1531.2,1531.2,1531.2,0,1,170694,734030
2019-12-24,202108,1547.3,1547.3,1547.3,1547.3,0,1,192439,748737
2019-12-26,202108,1557.1,1557.1,1557.1,1557.1,0,1,227745,755571
2019-12-27,202108,1561.2,1561.2,1561.2,1561.2,0,1,218941,765653
2019-12-30,202108,1562.3,1562.3,1562.3,1562.3,0,1,189473,772096
2019-12-31,202108,1567.6,1567.6,1567.6,1567.6,0,1,242536,786166
