Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2012-07-30,201707,326.35,326.35,326.35,326.35,0,0,51893,142663
2012-07-31,201707,326.1,326.1,326.1,326.1,0,0,62553,142774
2012-08-01,201707,321.85,321.85,321.85,321.85,0,0,61385,145765
2012-08-02,201707,313.8,313.8,313.8,313.8,0,0,90793,151469
2012-08-03,201707,321.25,321.25,321.25,321.25,0,0,65378,148127
2012-08-06,201707,323.5,323.5,323.5,323.5,0,0,43867,148846
2012-08-07,201707,328.4,328.4,328.4,328.4,0,0,75706,145059
2012-08-08,201707,326.5,326.5,326.5,326.5,0,0,60892,142310
2012-08-09,201707,326.9,326.9,326.9,326.9,0,0,72832,147243
2012-08-10,201707,324.0,324.0,324.0,324.0,0,0,62758,150976
2012-08-13,201707,320.2,320.2,320.2,320.2,0,0,61707,155604
2012-08-14,201707,320.7,320.7,320.7,320.7,0,0,45010,156244
2012-08-15,201707,319.8,319.8,319.8,319.8,0,0,44326,157004
2012-08-16,201707,322.95,322.95,322.95,322.95,0,0,60944,155700
2012-08-17,201707,326.15,326.15,326.15,326.15,0,0,61353,153983
2012-08-20,201707,321.35,321.35,321.35,321.35,0,0,51658,152931
2012-08-21,201707,329.3,329.3,329.3,329.3,0,0,86146,149461
2012-08-22,201707,329.2,329.2,329.2,329.2,0,0,62757,148489
2012-08-23,201707,332.85,332.85,332.85,332.85,0,0,83526,145791
2012-08-24,201707,332.15,332.15,332.15,332.15,0,0,65937,145239
2012-08-27,201707,331.5,331.5,331.5,331.5,0,0,54379,143586
2012-08-28,201707,330.4,330.4,330.4,330.4,0,0,65934,145214
2012-08-29,201707,328.35,328.35,328.35,328.35,0,0,77054,143796
2012-08-30,201707,328.2,328.2,328.2,328.2,0,0,67719,138559
2012-08-31,201707,329.15,329.15,329.15,329.15,0,0,55922,136735
2012-09-04,201707,330.4,330.4,330.4,330.4,0,0,60836,136512
2012-09-05,201707,335.75,335.75,335.75,335.75,0,0,69195,140623
2012-09-06,201707,334.45,334.45,334.45,334.45,0,0,59756,140488
2012-09-07,201707,346.4,346.4,346.4,346.4,0,0,82396,143902
2012-09-10,201707,350.25,350.25,350.25,350.25,0,0,66651,146458
2012-09-11,201707,351.15,351.15,351.15,351.15,0,0,56063,147630
2012-09-12,201707,350.8,350.8,350.8,350.8,0,0,52541,149248
2012-09-13,201707,352.35,352.35,352.35,352.35,0,0,53784,149394
2012-09-14,201707,364.5,364.5,364.5,364.5,0,0,61607,148691
2012-09-17,201707,360.75,360.75,360.75,360.75,0,0,59179,149862
2012-09-18,201707,360.45,360.45,360.45,360.45,0,0,56144,149098
2012-09-19,201707,363.0,363.0,363.0,363.0,0,0,51753,149883
2012-09-20,201707,357.6,357.6,357.6,357.6,0,0,55524,149319
2012-09-21,201707,360.55,360.55,360.55,360.55,0,0,53023,151907
2012-09-24,201707,355.05,355.05,355.05,355.05,0,0,46321,150774
2012-09-25,201707,357.75,357.75,357.75,357.75,0,0,49466,152263
2012-09-26,201707,353.1,353.1,353.1,353.1,0,0,51156,150148
2012-09-27,201707,356.45,356.45,356.45,356.45,0,0,51948,150212
2012-09-28,201707,357.9,357.9,357.9,357.9,0,0,47449,149589
2012-10-01,201707,360.4,360.4,360.4,360.4,0,0,49240,152353
2012-10-02,201707,362.05,362.05,362.05,362.05,0,0,47967,152264
2012-10-03,201707,360.6,360.6,360.6,360.6,0,0,40788,152482
2012-10-04,201707,360.8,360.8,360.8,360.8,0,0,43700,152795
2012-10-05,201707,359.9,359.9,359.9,359.9,0,0,46934,153801
2012-10-08,201707,354.05,354.05,354.05,354.05,0,0,39444,151368
2012-10-09,201707,354.65,354.65,354.65,354.65,0,0,53802,152004
2012-10-10,201707,354.65,354.65,354.65,354.65,0,0,42841,151151
2012-10-11,201707,357.9,357.9,357.9,357.9,0,0,49260,156432
2012-10-12,201707,352.95,352.95,352.95,352.95,0,0,50485,153562
2012-10-15,201707,353.15,353.15,353.15,353.15,0,0,52061,151097
2012-10-16,201707,353.1,353.1,353.1,353.1,0,0,31605,150296
2012-10-17,201707,357.55,357.55,357.55,357.55,0,0,54922,156449
2012-10-18,201707,357.65,357.65,357.65,357.65,0,0,50008,159179
2012-10-19,201707,347.7,347.7,347.7,347.7,0,0,70245,155204
2012-10-22,201707,346.25,346.25,346.25,346.25,0,0,47691,155453
2012-10-23,201707,341.45,341.45,341.45,341.45,0,0,63406,153564
2012-10-24,201707,341.3,341.3,341.3,341.3,0,0,48863,151227
2012-10-25,201707,339.7,339.7,339.7,339.7,0,0,54020,153802
2012-10-26,201707,339.9,339.9,339.9,339.9,0,0,58716,150107
2012-10-29,201707,334.15,334.15,334.15,334.15,0,0,38612,152271
2012-10-30,201707,335.55,335.55,335.55,335.55,0,0,38719,156569
2012-10-31,201707,336.75,336.75,336.75,336.75,0,0,64350,156798
2012-11-01,201707,340.05,340.05,340.05,340.05,0,0,55952,153967
2012-11-02,201707,333.1,333.1,333.1,333.1,0,0,62160,154659
2012-11-05,201707,331.75,331.75,331.75,331.75,0,0,51576,152079
2012-11-06,201707,335.3,335.3,335.3,335.3,0,0,52296,155396
2012-11-07,201707,328.8,328.8,328.8,328.8,0,0,98690,152262
2012-11-08,201707,331.7,331.7,331.7,331.7,0,0,74748,145885
2012-11-09,201707,329.35,329.35,329.35,329.35,0,0,83076,148299
2012-11-12,201707,331.6,331.6,331.6,331.6,0,0,68267,148404
2012-11-13,201707,332.1,332.1,332.1,332.1,0,0,73220,151884
2012-11-14,201707,330.25,330.25,330.25,330.25,0,0,59284,150091
2012-11-15,201707,331.05,331.05,331.05,331.05,0,0,52831,149581
2012-11-16,201707,329.85,329.85,329.85,329.85,0,0,55074,150534
2012-11-19,201707,337.3,337.3,337.3,337.3,0,0,72594,149151
2012-11-20,201707,336.35,336.35,336.35,336.35,0,0,56359,147748
2012-11-21,201707,334.55,334.55,334.55,334.55,0,0,70793,147615
2012-11-23,201707,337.9,337.9,337.9,337.9,0,0,62785,145339
2012-11-26,201707,340.3,340.3,340.3,340.3,0,0,86520,145854
2012-11-27,201707,340.65,340.65,340.65,340.65,0,0,97007,145313
2012-11-28,201707,339.3,339.3,339.3,339.3,0,0,80316,139056
2012-11-29,201707,346.05,346.05,346.05,346.05,0,0,83374,140921
2012-11-30,201707,351.35,351.35,351.35,351.35,0,0,72832,140746
2012-12-03,201707,352.0,352.0,352.0,352.0,0,0,47565,140809
2012-12-04,201707,352.0,352.0,352.0,352.0,0,0,49643,143993
2012-12-05,201707,354.95,354.95,354.95,354.95,0,0,49729,145080
2012-12-06,201707,350.95,350.95,350.95,350.95,0,0,52184,145581
2012-12-07,201707,352.75,352.75,352.75,352.75,0,0,46476,148158
2012-12-10,201707,358.65,358.65,358.65,358.65,0,0,53755,150359
2012-12-11,201707,356.65,356.65,356.65,356.65,0,0,38443,151310
2012-12-12,201707,359.6,359.6,359.6,359.6,0,0,44272,150675
2012-12-13,201707,353.85,353.85,353.85,353.85,0,0,47101,151365
2012-12-14,201707,356.15,356.15,356.15,356.15,0,0,36700,153170
2012-12-17,201707,354.55,354.55,354.55,354.55,0,0,49637,152160
2012-12-18,201707,353.25,353.25,353.25,353.25,0,0,40792,153815
2012-12-19,201707,348.4,348.4,348.4,348.4,0,0,59802,152830
2012-12-20,201707,341.65,341.65,341.65,341.65,0,0,55137,150096
2012-12-21,201707,344.6,344.6,344.6,344.6,0,0,49791,148003
2012-12-24,201707,342.6,342.6,342.6,342.6,0,0,15763,148449
2012-12-26,201707,347.75,347.75,347.75,347.75,0,0,20823,149157
2012-12-27,201707,348.05,348.05,348.05,348.05,0,0,30764,147960
2012-12-28,201707,346.85,346.85,346.85,346.85,0,0,30663,146418
2012-12-31,201707,353.15,353.15,353.15,353.15,0,0,29607,146548
2013-01-02,201707,361.65,361.65,361.65,361.65,0,0,55729,150354
2013-01-03,201707,359.85,359.85,359.85,359.85,0,0,49808,151534
2013-01-04,201707,357.8,357.8,357.8,357.8,0,0,49389,151478
2013-01-07,201707,356.55,356.55,356.55,356.55,0,0,46671,151668
2013-01-08,201707,356.25,356.25,356.25,356.25,0,0,51503,156245
2013-01-09,201707,356.4,356.4,356.4,356.4,0,0,49055,155609
2013-01-10,201707,360.7,360.7,360.7,360.7,0,0,51326,159225
2013-01-11,201707,355.75,355.75,355.75,355.75,0,0,50525,156462
2013-01-14,201707,354.15,354.15,354.15,354.15,0,0,61895,157526
2013-01-15,201707,354.3,354.3,354.3,354.3,0,0,56882,155689
2013-01-16,201707,351.25,351.25,351.25,351.25,0,0,50595,158058
2013-01-17,201707,356.6,356.6,356.6,356.6,0,0,63522,160317
2013-01-18,201707,358.3,358.3,358.3,358.3,0,0,45051,159822
2013-01-22,201707,361.1,361.1,361.1,361.1,0,0,68405,161899
2013-01-23,201707,359.0,359.0,359.0,359.0,0,0,49348,165172
2013-01-24,201707,358.4,358.4,358.4,358.4,0,0,45574,164751
2013-01-25,201707,356.05,356.05,356.05,356.05,0,0,54312,165293
2013-01-28,201707,357.1,357.1,357.1,357.1,0,0,45367,165174
2013-01-29,201707,360.35,360.35,360.35,360.35,0,0,56228,168493
2013-01-30,201707,365.85,365.85,365.85,365.85,0,0,73529,172235
2013-01-31,201707,363.7,363.7,363.7,363.7,0,0,89122,177149
2013-02-01,201707,369.0,369.0,369.0,369.0,0,0,69254,181326
2013-02-04,201707,367.35,367.35,367.35,367.35,0,0,55004,182036
2013-02-05,201707,367.8,367.8,367.8,367.8,0,0,51833,183941
2013-02-06,201707,364.9,364.9,364.9,364.9,0,0,51553,184257
2013-02-07,201707,363.65,363.65,363.65,363.65,0,0,74138,180014
2013-02-08,201707,366.95,366.95,366.95,366.95,0,0,71327,177511
2013-02-11,201707,363.5,363.5,363.5,363.5,0,0,64833,174186
2013-02-12,201707,365.65,365.65,365.65,365.65,0,0,65841,174441
2013-02-13,201707,365.7,365.7,365.7,365.7,0,0,81074,178043
2013-02-14,201707,365.4,365.4,365.4,365.4,0,0,61662,179847
2013-02-15,201707,366.7,366.7,366.7,366.7,0,0,74327,179929
2013-02-19,201707,358.25,358.25,358.25,358.25,0,0,117069,178372
2013-02-20,201707,354.25,354.25,354.25,354.25,0,0,111323,174912
2013-02-21,201707,348.75,348.75,348.75,348.75,0,0,128326,168344
