Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2012-11-01,201404,137.9,137.9,137.9,137.9,0,0,58562,311528
2012-11-02,201404,137.5,137.5,137.5,137.5,0,0,43786,315500
2012-11-05,201404,137.5,137.5,137.5,137.5,0,0,36731,315088
2012-11-06,201404,137.5,137.5,137.5,137.5,0,0,41369,316317
2012-11-07,201404,137.5,137.5,137.5,137.5,0,0,78813,322014
2012-11-08,201404,137.0,137.0,137.0,137.0,0,0,67351,320593
2012-11-09,201404,137.0,137.0,137.0,137.0,0,0,52215,323490
2012-11-12,201404,137.0,137.0,137.0,137.0,0,0,47131,325799
2012-11-13,201404,136.8,136.8,136.8,136.8,0,0,62440,330826
2012-11-14,201404,136.5,136.5,136.5,136.5,0,0,55197,331014
2012-11-15,201404,136.5,136.5,136.5,136.5,0,0,55668,327848
2012-11-16,201404,136.5,136.5,136.5,136.5,0,0,46403,331065
2012-11-19,201404,136.5,136.5,136.5,136.5,0,0,46572,332448
2012-11-20,201404,136.25,136.5,136.25,136.5,2,2,40975,334554
2012-11-21,201404,135.5,135.6,135.5,136.05,18,16,55233,332680
2012-11-23,201404,136.0,136.675,136.0,136.3,29,33,46578,334363
2012-11-26,201404,136.2,136.575,136.175,136.25,14,47,51041,334839
2012-11-27,201404,136.7,137.0,136.7,136.35,20,65,49617,336064
2012-11-28,201404,136.35,136.35,136.25,136.35,14,77,40140,334696
2012-11-29,201404,136.65,136.65,136.65,136.35,4,80,35086,336802
2012-11-30,201404,136.0,136.4,135.975,136.25,39,105,79448,339726
2012-12-03,201404,136.6,136.6,136.6,136.25,2,107,50297,341851
2012-12-04,201404,136.575,136.7,136.575,136.35,4,111,37878,341044
2012-12-05,201404,136.725,136.75,136.725,136.7,9,119,53301,340047
2012-12-06,201404,136.75,137.25,136.75,136.9,10,129,51175,341269
2012-12-07,201404,136.9,136.9,136.9,136.9,0,129,49862,333627
2012-12-10,201404,136.6,136.8,136.6,136.9,3,132,57655,330912
2012-12-11,201404,137.175,137.75,137.175,137.4,23,150,89414,325401
2012-12-12,201404,137.5,137.75,137.5,137.65,8,156,50622,325594
2012-12-13,201404,138.0,138.1,137.525,137.65,8,163,38280,326286
2012-12-14,201404,137.425,138.3,137.4,138.3,29,189,53779,325335
2012-12-17,201404,138.0,138.95,138.0,138.8,25,204,61709,325660
2012-12-18,201404,138.65,138.85,138.5,138.5,13,217,67609,330086
2012-12-19,201404,138.75,138.8,138.25,138.5,15,226,57010,330344
2012-12-20,201404,138.0,138.0,137.8,138.0,2,228,49184,331234
2012-12-21,201404,137.75,137.75,137.75,138.0,5,233,37251,328767
2012-12-24,201404,138.0,138.0,138.0,138.0,0,233,13082,329903
2012-12-26,201404,138.0,138.0,137.5,138.0,8,239,29901,330254
2012-12-27,201404,137.5,137.5,137.5,137.5,0,239,32516,328959
2012-12-28,201404,137.5,137.65,137.4,137.5,11,246,38201,328314
2012-12-31,201404,137.275,137.4,136.9,137.5,28,270,46069,329446
2013-01-02,201404,137.0,137.0,137.0,137.0,0,270,62715,336305
2013-01-03,201404,137.5,137.775,137.5,137.7,42,306,56172,340203
2013-01-04,201404,137.85,137.85,137.85,137.7,9,314,46644,338506
2013-01-07,201404,137.5,137.75,137.5,137.75,19,333,49421,342325
2013-01-08,201404,137.625,137.625,137.5,137.55,14,347,78004,341587
2013-01-09,201404,137.575,137.575,137.375,137.375,8,348,75313,335271
2013-01-10,201404,137.45,137.45,137.45,137.45,14,353,66295,334623
2013-01-11,201404,137.225,137.25,136.7,136.9,22,359,83842,329272
2013-01-14,201404,136.75,137.25,136.75,136.9,13,366,69553,325163
2013-01-15,201404,136.5,137.15,136.5,137.1,78,394,54175,323145
2013-01-16,201404,136.7,136.7,136.0,136.4,38,408,99898,325013
2013-01-17,201404,136.0,136.5,135.2,135.75,84,452,141709,320051
2013-01-18,201404,135.6,135.8,135.45,135.75,21,447,128439,315725
2013-01-22,201404,136.5,136.5,135.925,135.75,3,449,66717,319743
2013-01-23,201404,136.025,136.225,136.0,135.75,9,447,89429,325873
2013-01-24,201404,136.5,136.525,136.25,136.5,8,452,55221,324221
2013-01-25,201404,136.5,136.75,136.35,136.5,18,467,43502,325740
2013-01-28,201404,136.75,137.5,136.7,137.25,78,523,71952,326119
2013-01-29,201404,136.925,136.925,136.9,137.25,2,525,38151,328863
2013-01-30,201404,136.9,137.25,136.775,136.95,43,561,53076,330397
2013-01-31,201404,137.0,137.5,136.8,137.5,54,571,53855,331956
2013-02-01,201404,137.0,137.2,136.75,137.2,14,576,60708,327776
2013-02-04,201404,137.5,137.5,137.25,137.35,11,581,71786,327561
2013-02-05,201404,137.125,137.5,137.0,137.35,47,608,37132,330758
2013-02-06,201404,136.95,136.95,136.2,136.6,27,626,52637,333381
2013-02-07,201404,135.85,136.2,135.575,136.2,59,660,51448,335618
2013-02-08,201404,136.15,136.15,134.2,134.75,133,758,61348,332045
2013-02-11,201404,133.55,134.6,133.5,134.75,67,812,57782,328062
2013-02-12,201404,134.075,134.075,132.7,133.9,188,939,86029,328814
2013-02-13,201404,133.375,133.45,132.825,133.35,92,939,53930,328247
2013-02-14,201404,132.3,134.0,132.3,134.0,39,956,65067,329707
2013-02-15,201404,133.5,134.55,133.5,134.55,32,976,43513,330675
2013-02-19,201404,134.3,134.5,133.9,134.2,67,1010,60546,330839
2013-02-20,201404,133.8,134.2,132.375,132.9,155,1106,68222,329312
2013-02-21,201404,132.6,133.0,132.425,132.95,144,1195,41555,330449
2013-02-22,201404,132.8,133.1,132.45,133.1,43,1204,39439,330348
2013-02-25,201404,133.25,133.25,132.0,133.1,84,1251,50368,332441
2013-02-26,201404,132.55,133.25,132.15,133.25,78,1320,63779,332943
2013-02-27,201404,133.225,133.45,132.85,133.35,42,1343,52683,330727
2013-02-28,201404,133.7,133.85,133.45,133.85,56,1366,51520,335237
2013-03-01,201404,134.0,134.0,133.1,133.4,41,1385,58056,336462
2013-03-04,201404,133.1,133.6,132.9,133.6,74,1430,42319,334672
2013-03-05,201404,133.45,133.55,132.5,132.65,41,1454,50491,337694
2013-03-06,201404,132.125,132.125,130.975,131.75,114,1494,92570,334991
2013-03-07,201404,131.675,132.5,131.675,132.05,74,1535,89160,339493
2013-03-08,201404,132.225,132.25,131.15,131.4,37,1543,81019,344146
2013-03-11,201404,131.55,132.0,131.55,131.7,45,1577,77233,345694
2013-03-12,201404,132.0,132.325,131.85,132.3,43,1604,67096,342456
2013-03-13,201404,132.5,132.725,131.9,132.5,125,1692,75658,343238
2013-03-14,201404,132.225,132.225,131.5,131.75,68,1738,66633,341154
2013-03-15,201404,131.075,131.075,129.825,130.0,30,1753,79972,338696
2013-03-18,201404,129.975,130.325,129.9,130.15,32,1762,39611,337198
2013-03-19,201404,130.0,130.275,129.025,129.8,256,1920,70598,335624
2013-03-20,201404,129.65,130.35,129.0,130.2,149,2017,57936,331181
2013-03-21,201404,130.25,130.7,129.95,130.5,64,2059,44285,329478
2013-03-22,201404,129.95,130.5,129.8,130.15,83,2103,41273,326592
2013-03-25,201404,130.55,130.65,130.025,130.4,55,2113,37877,327048
2013-03-26,201404,130.325,130.325,129.7,130.1,23,2119,28404,326368
2013-03-27,201404,129.85,131.4,129.85,131.4,75,2171,52520,326285
2013-03-28,201404,131.175,132.275,131.175,131.9,243,2351,96616,330248
2013-04-01,201404,132.2,132.2,131.725,132.2,289,2459,48839,329215
2013-04-02,201404,131.85,132.075,130.775,131.2,137,2478,62514,329781
2013-04-03,201404,131.225,131.9,130.95,131.7,113,2500,53722,328454
2013-04-04,201404,131.15,131.225,130.675,131.025,59,2508,48696,327682
2013-04-05,201404,131.15,131.15,129.9,130.375,154,2560,47351,320701
2013-04-08,201404,130.5,130.65,129.775,130.35,165,2604,48560,323523
2013-04-09,201404,130.4,130.5,130.05,130.35,133,2615,29380,323236
2013-04-10,201404,130.05,130.25,128.775,129.0,125,2613,51958,322480
2013-04-11,201404,128.625,129.425,128.5,129.175,235,2663,39784,322880
2013-04-12,201404,128.9,129.2,128.6,128.825,129,2736,40593,324262
2013-04-15,201404,128.425,128.525,126.925,127.275,307,2836,48449,323971
2013-04-16,201404,126.75,127.7,126.6,127.7,115,2901,28917,322678
2013-04-17,201404,127.425,129.0,127.35,128.85,339,3005,57782,321896
2013-04-18,201404,128.95,129.0,128.25,128.6,156,3064,47023,322433
2013-04-19,201404,128.375,128.425,127.95,128.225,130,3120,30205,323738
2013-04-22,201404,127.9,128.0,127.175,128.0,97,3143,40153,326917
2013-04-23,201404,128.0,128.3,127.775,128.05,814,3548,43647,329609
2013-04-24,201404,128.0,129.25,128.0,129.1,374,3730,43438,329044
2013-04-25,201404,129.1,130.0,128.75,129.9,220,3837,38892,328015
2013-04-26,201404,129.8,129.8,129.225,129.5,263,3876,38397,327320
2013-04-29,201404,129.5,129.975,129.425,129.8,933,4264,38232,324605
2013-04-30,201404,129.5,130.0,129.35,129.5,211,4353,51380,327728
2013-05-01,201404,129.025,130.25,128.95,129.8,468,4461,54342,326457
2013-05-02,201404,130.15,130.725,130.15,130.575,473,4626,65700,323698
2013-05-03,201404,130.575,130.675,128.975,129.575,1312,5020,70756,324606
2013-05-06,201404,129.475,129.5,128.35,128.6,289,5073,50251,327329
2013-05-07,201404,128.45,128.7,127.775,127.95,352,5156,68440,325354
2013-05-08,201404,127.85,128.325,127.0,127.275,423,5266,74721,322821
2013-05-09,201404,127.075,127.7,126.925,127.5,435,5262,66952,324614
2013-05-10,201404,127.45,128.0,127.2,127.95,264,5288,49437,326112
2013-05-13,201404,128.0,128.6,127.775,127.85,208,5315,58219,326130
2013-05-14,201404,127.825,128.25,127.425,127.8,206,5385,48561,319714
2013-05-15,201404,128.0,128.0,127.125,127.2,225,5469,75983,314786
2013-05-16,201404,127.3,127.3,126.9,126.95,595,5583,49546,314875
2013-05-17,201404,126.925,127.0,126.0,126.65,472,5754,51204,313521
2013-05-20,201404,126.025,127.3,125.55,126.9,591,5919,59402,309997
2013-05-21,201404,127.3,127.9,126.85,127.8,410,5990,50295,307067
2013-05-22,201404,127.85,127.975,126.45,126.95,1250,6583,48707,307333
2013-05-23,201404,126.725,127.075,126.225,126.5,724,7013,44242,307792
2013-05-24,201404,126.375,127.875,126.3,127.325,649,7242,40895,305759
2013-05-28,201404,127.5,128.375,127.5,128.3,415,7368,43264,305099
2013-05-29,201404,128.45,129.3,128.4,129.3,1500,7756,37475,301969
2013-05-30,201404,129.075,129.2,127.825,128.075,406,7932,39062,299536
2013-05-31,201404,128.225,129.1,128.0,128.975,778,8344,42283,299296
2013-06-03,201404,128.675,128.675,127.65,128.2,187,8315,39537,299844
2013-06-04,201404,128.1,129.1,127.775,128.775,499,8446,46902,298950
2013-06-05,201404,128.75,128.75,127.675,127.775,678,8549,35974,300214
2013-06-06,201404,127.85,128.475,127.7,128.325,541,8811,40924,301836
2013-06-07,201404,128.125,128.35,127.775,127.975,196,8867,36475,298026
2013-06-10,201404,127.55,127.925,127.225,127.275,233,8896,48752,297606
2013-06-11,201404,127.325,128.775,127.275,128.25,384,8989,42542,297040
2013-06-12,201404,128.45,128.575,127.525,128.45,363,8990,44583,296255
2013-06-13,201404,128.075,128.35,127.625,128.1,301,9122,30900,296483
2013-06-14,201404,127.85,127.925,127.0,127.225,519,9214,31383,299030
2013-06-17,201404,126.9,128.125,126.875,127.9,824,9219,39884,297921
2013-06-18,201404,127.625,128.2,127.4,127.75,272,9258,27907,296434
2013-06-19,201404,127.75,128.8,127.7,128.625,619,9337,43023,292340
2013-06-20,201404,128.625,128.625,127.75,128.45,338,9413,37783,288266
2013-06-21,201404,128.175,129.55,127.9,129.55,740,9564,60057,282955
2013-06-24,201404,129.2,129.55,128.9,129.1,696,9806,39791,277316
2013-06-25,201404,129.05,129.5,128.85,129.125,546,9977,35185,274517
2013-06-26,201404,129.15,129.725,129.1,129.625,732,10263,50151,269606
2013-06-27,201404,129.775,130.0,129.5,130.0,946,10764,45904,269858
2013-06-28,201404,129.525,130.0,129.325,129.7,2128,11576,53668,267766
2013-07-01,201404,129.75,130.25,129.725,130.05,768,11875,40230,266573
2013-07-02,201404,130.05,130.4,129.5,129.925,711,12113,41922,266836
2013-07-03,201404,129.65,130.475,129.6,130.425,1877,12868,43379,267505
2013-07-05,201404,130.1,130.375,129.85,130.15,908,12974,29101,269143
2013-07-08,201404,130.0,130.65,129.95,130.5,1180,12930,57275,269984
2013-07-09,201404,130.35,131.15,129.625,130.85,2291,12886,67620,272592
2013-07-10,201404,130.675,131.0,130.475,130.725,1837,13212,65965,274046
2013-07-11,201404,130.5,130.9,130.425,130.6,2153,13656,64993,271184
2013-07-12,201404,130.475,130.85,130.05,130.7,1608,13597,69191,273522
2013-07-15,201404,130.75,131.4,130.75,131.275,1237,13744,55629,277273
2013-07-16,201404,130.55,131.45,130.55,131.4,1591,13895,36779,275904
2013-07-17,201404,131.05,131.3,130.175,130.45,580,13869,47226,277298
2013-07-18,201404,130.225,131.55,130.2,131.2,1891,13994,49628,279159
2013-07-19,201404,131.1,131.375,130.625,131.05,1930,14356,38396,278065
2013-07-22,201404,131.0,131.325,130.5,130.8,1108,14473,36685,279391
2013-07-23,201404,130.825,131.475,130.7,130.75,930,14581,40290,281204
2013-07-24,201404,130.85,131.275,130.425,130.7,1117,14615,34364,280778
2013-07-25,201404,130.5,130.675,129.7,130.65,1368,14725,47115,279922
2013-07-26,201404,130.425,130.975,130.275,130.85,1285,14970,40937,280303
2013-07-29,201404,130.9,131.15,130.675,130.925,1335,15435,34296,281434
2013-07-30,201404,130.8,130.925,130.375,130.75,1892,15868,44292,283485
2013-07-31,201404,130.725,131.1,130.525,130.975,1556,16050,35494,284717
2013-08-01,201404,130.775,131.1,129.9,130.05,2517,16378,53155,286953
2013-08-02,201404,130.025,130.65,129.65,130.275,3385,16830,54606,279894
2013-08-05,201404,130.0,130.55,129.75,130.15,2196,17204,42072,278976
2013-08-06,201404,130.2,130.45,130.0,130.2,1574,17669,29043,279718
2013-08-07,201404,130.125,131.575,129.55,130.2,3385,18641,54222,281767
2013-08-08,201404,131.65,132.9,130.9,131.575,5099,19873,84660,285734
2013-08-09,201404,131.15,131.9,131.15,131.6,2756,20311,44654,286483
2013-08-12,201404,131.55,132.05,131.5,131.85,2019,20867,30037,287245
2013-08-13,201404,131.725,132.625,131.675,132.3,2471,21587,47474,290033
2013-08-14,201404,132.35,132.5,131.625,132.2,1860,21828,36154,290190
2013-08-15,201404,132.15,132.325,131.875,132.1,1192,22020,31152,290076
2013-08-16,201404,132.125,132.775,131.65,132.475,2156,22473,54298,294844
2013-08-19,201404,132.575,133.1,132.275,132.925,1609,22800,36332,293459
2013-08-20,201404,132.75,133.025,132.6,132.775,1056,23073,20219,293504
2013-08-21,201404,132.75,132.8,132.3,132.55,1462,23495,26599,294471
