Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2008-02-19,201511,8.629,8.629,8.629,8.629,0,0,173199,963709
2008-02-20,201511,8.609,8.609,8.609,8.609,0,0,144423,966007
2008-02-21,201511,8.645,8.645,8.645,8.645,0,0,165320,964632
2008-02-22,201511,8.667,8.667,8.667,8.667,0,0,211786,962040
2008-02-25,201511,8.71,8.71,8.71,8.71,0,0,163868,958815
2008-02-26,201511,8.88,8.88,8.88,8.88,0,0,196074,951977
2008-02-27,201511,8.928,8.928,8.928,8.928,2,2,163457,919830
2008-02-28,201511,9.037,9.037,9.037,9.037,0,2,149760,924435
2008-02-29,201511,9.147,9.147,9.147,9.147,0,2,88330,928172
2008-03-03,201511,9.278,9.278,9.278,9.278,0,2,136193,934592
2008-03-04,201511,9.374,9.374,9.374,9.374,0,2,133731,940141
2008-03-05,201511,9.356,9.356,9.356,9.356,0,2,193104,936838
2008-03-06,201511,9.337,9.337,9.337,9.337,0,2,152257,932497
2008-03-07,201511,9.329,9.329,9.329,9.329,0,2,177522,927995
2008-03-10,201511,9.294,9.294,9.294,9.294,0,2,139979,930923
2008-03-11,201511,9.39,9.39,9.39,9.39,11,13,169009,925085
2008-03-12,201511,9.519,9.519,9.519,9.519,0,13,109164,923157
2008-03-13,201511,9.911,9.911,9.911,9.911,0,13,150317,923346
2008-03-14,201511,9.893,9.893,9.893,9.893,0,13,150655,922865
2008-03-17,201511,9.596,9.596,9.596,9.596,0,13,217362,919345
2008-03-18,201511,9.653,9.653,9.653,9.653,0,13,135043,901607
2008-03-19,201511,9.399,9.399,9.399,9.399,0,13,169951,888187
2008-03-20,201511,9.139,9.139,9.139,9.139,0,13,166054,885938
2008-03-24,201511,9.292,9.292,9.292,9.292,0,13,148525,883705
2008-03-25,201511,9.438,9.438,9.438,9.438,0,13,151808,884385
2008-03-26,201511,9.486,9.486,9.486,9.486,0,13,141575,878905
2008-03-27,201511,9.451,9.451,9.451,9.451,0,13,118829,865464
2008-03-28,201511,9.207,9.207,9.207,9.207,0,13,86889,862141
2008-03-31,201511,9.118,9.118,9.118,9.118,0,13,135627,865871
2008-04-01,201511,9.004,9.004,9.004,9.004,0,13,146861,866662
2008-04-02,201511,9.132,9.132,9.132,9.132,0,13,177001,864475
2008-04-03,201511,9.034,9.034,9.034,9.034,0,13,152782,860901
2008-04-04,201511,9.132,9.132,9.132,9.132,0,13,124222,858138
2008-04-07,201511,9.299,9.299,9.299,9.299,0,13,155256,858976
2008-04-08,201511,9.254,9.254,9.254,9.254,0,13,177043,857982
2008-04-09,201511,9.225,9.225,9.225,9.225,0,13,196369,862056
2008-04-10,201511,9.07,9.07,9.07,9.07,0,13,195365,872697
2008-04-11,201511,9.005,9.005,9.005,9.005,0,13,150967,876415
2008-04-14,201511,8.973,8.973,8.973,8.973,0,13,106660,878652
2008-04-15,201511,8.94,8.94,8.94,8.94,0,13,144669,880624
2008-04-16,201511,8.926,8.926,8.926,8.926,0,13,222815,878895
2008-04-17,201511,8.971,8.971,8.971,8.971,0,13,161067,885473
2008-04-18,201511,9.182,9.182,9.182,9.182,3,13,131461,887923
2008-04-21,201511,9.345,9.345,9.345,9.345,0,13,140082,889781
2008-04-22,201511,9.434,9.434,9.434,9.434,0,13,147589,890378
2008-04-23,201511,9.506,9.506,9.506,9.506,0,13,170849,889712
2008-04-24,201511,9.415,9.415,9.415,9.415,1,13,156401,888884
2008-04-25,201511,9.404,9.404,9.404,9.404,0,13,116987,884420
2008-04-28,201511,9.429,9.429,9.429,9.429,0,13,141403,880283
2008-04-29,201511,9.32,9.32,9.32,9.32,0,13,141744,876509
2008-04-30,201511,9.335,9.335,9.335,9.335,0,13,125279,872489
2008-05-01,201511,9.279,9.279,9.279,9.279,0,13,134645,866715
2008-05-02,201511,9.399,9.399,9.399,9.399,0,13,81522,857189
2008-05-05,201511,9.39,9.39,9.39,9.39,0,13,112234,865645
2008-05-06,201511,9.376,9.376,9.376,9.376,0,13,129461,867142
2008-05-07,201511,9.417,9.417,9.417,9.417,0,13,128159,867531
2008-05-08,201511,9.384,9.384,9.384,9.384,0,13,153507,869545
2008-05-09,201511,9.365,9.365,9.365,9.365,0,13,133196,876220
2008-05-12,201511,9.304,9.304,9.304,9.304,0,13,154369,877171
2008-05-13,201511,9.32,9.32,9.32,9.32,0,13,181510,878936
2008-05-14,201511,9.36,9.36,9.36,9.36,0,13,121797,883427
2008-05-15,201511,9.408,9.408,9.408,9.408,0,13,186820,890935
2008-05-16,201511,9.489,9.489,9.489,9.489,0,13,175475,887758
2008-05-19,201511,9.856,9.856,9.856,9.856,0,13,140386,882095
2008-05-20,201511,10.432,10.432,10.432,10.432,0,13,198449,892847
2008-05-21,201511,10.694,10.694,10.694,10.694,3,13,173016,894000
2008-05-22,201511,10.66,10.66,10.66,10.66,0,13,238279,919357
2008-05-23,201511,10.609,10.609,10.609,10.609,0,13,122446,919225
2008-05-27,201511,10.586,10.586,10.586,10.586,0,13,155370,902704
2008-05-28,201511,10.567,10.567,10.567,10.567,0,13,157950,896898
2008-05-29,201511,10.543,10.543,10.543,10.543,0,13,181023,896684
2008-05-30,201511,10.597,10.597,10.597,10.597,0,13,108357,898031
2008-06-02,201511,10.704,10.704,10.704,10.704,0,13,157761,902923
2008-06-03,201511,10.786,10.786,10.786,10.786,2,11,155212,915499
2008-06-04,201511,10.712,10.712,10.712,10.712,0,11,192085,915987
2008-06-05,201511,10.605,10.605,10.605,10.605,0,11,138477,927772
2008-06-06,201511,10.722,10.722,10.722,10.722,0,11,180537,934661
2008-06-09,201511,10.934,10.934,10.934,10.934,0,11,163152,934724
2008-06-10,201511,11.002,11.002,11.002,11.002,0,11,171735,941378
2008-06-11,201511,11.15,11.15,11.15,11.15,0,11,163900,940262
