Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2008-11-25,202101,9.618,9.618,9.618,9.618,0,0,116700,718470
2008-11-26,202101,9.822,9.822,9.822,9.822,0,0,125584,720808
2008-11-28,202101,9.7,9.7,9.7,9.7,0,0,56713,718799
2008-12-01,202101,9.704,9.704,9.704,9.704,0,0,95278,717175
2008-12-02,202101,9.573,9.573,9.573,9.573,0,0,98953,714276
2008-12-03,202101,9.56,9.56,9.56,9.56,0,0,90578,712478
2008-12-04,202101,9.472,9.472,9.472,9.472,0,0,146390,713885
2008-12-05,202101,9.312,9.312,9.312,9.312,0,0,145746,708708
2008-12-08,202101,9.261,9.261,9.261,9.261,0,0,154405,711659
2008-12-09,202101,9.331,9.331,9.331,9.331,0,0,150530,716408
2008-12-10,202101,9.443,9.443,9.443,9.443,0,0,146463,714812
2008-12-11,202101,9.412,9.412,9.412,9.412,0,0,141192,720492
2008-12-12,202101,9.246,9.246,9.246,9.246,0,0,87553,712613
2008-12-15,202101,9.266,9.266,9.266,9.266,0,0,100056,715676
2008-12-16,202101,9.294,9.294,9.294,9.294,0,0,107794,712293
2008-12-17,202101,9.253,9.253,9.253,9.253,0,0,121076,713525
2008-12-18,202101,9.146,9.146,9.146,9.146,0,0,126035,708232
2008-12-19,202101,8.987,8.987,8.987,8.987,0,0,122048,704211
2008-12-22,202101,8.867,8.867,8.867,8.867,0,0,92418,688851
2008-12-23,202101,8.805,8.805,8.805,8.805,0,0,120923,694060
2008-12-24,202101,8.804,8.804,8.804,8.804,0,0,79299,682189
2008-12-26,202101,8.755,8.755,8.755,8.755,0,0,24768,678236
2008-12-29,202101,8.752,8.752,8.752,8.752,0,0,100889,673896
2008-12-30,202101,8.648,8.648,8.648,8.648,0,0,59314,671730
2008-12-31,202101,8.675,8.675,8.675,8.675,0,0,72549,679760
2009-01-02,202101,8.824,8.824,8.824,8.824,0,0,83127,677650
2009-01-05,202101,8.9,8.9,8.9,8.9,0,0,89301,680425
2009-01-06,202101,8.968,8.968,8.968,8.968,0,0,111847,686597
2009-01-07,202101,8.954,8.954,8.954,8.954,0,0,109153,694709
2009-01-08,202101,8.919,8.919,8.919,8.919,0,0,158249,695494
2009-01-09,202101,8.938,8.938,8.938,8.938,0,0,104551,697266
2009-01-12,202101,9.007,9.007,9.007,9.007,0,0,97992,696213
2009-01-13,202101,8.987,8.987,8.987,8.987,0,0,141049,705973
2009-01-14,202101,8.928,8.928,8.928,8.928,0,0,157256,708718
2009-01-15,202101,8.765,8.765,8.765,8.765,0,0,136030,711986
2009-01-16,202101,8.752,8.752,8.752,8.752,0,0,101411,706410
2009-01-20,202101,8.766,8.766,8.766,8.766,0,0,86553,704924
2009-01-21,202101,8.773,8.773,8.773,8.773,0,0,110947,700975
2009-01-22,202101,8.824,8.824,8.824,8.824,0,0,142313,700935
2009-01-23,202101,8.81,8.81,8.81,8.81,0,0,133014,691596
2009-01-26,202101,8.923,8.923,8.923,8.923,0,0,112198,689124
2009-01-27,202101,8.976,8.976,8.976,8.976,0,0,121154,679224
2009-01-28,202101,8.95,8.95,8.95,8.95,0,0,119417,676988
2009-01-29,202101,8.989,8.989,8.989,8.989,0,0,112084,679194
2009-01-30,202101,8.924,8.924,8.924,8.924,0,0,116073,682516
2009-02-02,202101,8.922,8.922,8.922,8.922,0,0,142214,686809
2009-02-03,202101,9.003,9.003,9.003,9.003,0,0,151022,692072
2009-02-04,202101,9.072,9.072,9.072,9.072,0,0,129986,691988
2009-02-05,202101,9.088,9.088,9.088,9.088,0,0,137443,697839
2009-02-06,202101,9.009,9.009,9.009,9.009,0,0,143642,704645
2009-02-09,202101,9.049,9.049,9.049,9.049,0,0,135208,700685
2009-02-10,202101,8.955,8.955,8.955,8.955,0,0,172146,707605
2009-02-11,202101,8.952,8.952,8.952,8.952,0,0,208200,702934
2009-02-12,202101,8.914,8.914,8.914,8.914,0,0,212114,726095
2009-02-13,202101,8.924,8.924,8.924,8.924,0,0,100434,731614
2009-02-17,202101,8.867,8.867,8.867,8.867,0,0,129499,732347
2009-02-18,202101,8.742,8.742,8.742,8.742,0,0,166528,733920
2009-02-19,202101,8.654,8.654,8.654,8.654,0,0,172518,751319
2009-02-20,202101,8.706,8.706,8.706,8.706,0,0,103122,752228
2009-02-23,202101,8.759,8.759,8.759,8.759,0,0,140463,748752
2009-02-24,202101,8.816,8.816,8.816,8.816,0,0,159552,688701
2009-02-25,202101,8.778,8.778,8.778,8.778,0,0,147099,674275
2009-02-26,202101,8.801,8.801,8.801,8.801,0,0,87680,676305
2009-02-27,202101,8.745,8.745,8.745,8.745,0,0,141681,671554
2009-03-02,202101,8.638,8.638,8.638,8.638,0,0,125117,677809
2009-03-03,202101,8.65,8.65,8.65,8.65,0,0,117922,677190
2009-03-04,202101,8.617,8.617,8.617,8.617,0,0,148227,662181
2009-03-05,202101,8.427,8.427,8.427,8.427,0,0,141452,669413
2009-03-06,202101,8.37,8.37,8.37,8.37,0,0,138725,666963
2009-03-09,202101,8.38,8.38,8.38,8.38,0,0,130920,674483
2009-03-10,202101,8.351,8.351,8.351,8.351,0,0,124946,670391
2009-03-11,202101,8.187,8.187,8.187,8.187,0,0,127940,662680
2009-03-12,202101,8.152,8.152,8.152,8.152,0,0,167169,658331
2009-03-13,202101,8.108,8.108,8.108,8.108,0,0,109630,655534
2009-03-16,202101,8.062,8.062,8.062,8.062,0,0,132496,658282
2009-03-17,202101,7.989,7.989,7.989,7.989,0,0,98578,662532
2009-03-18,202101,7.946,7.946,7.946,7.946,0,0,119274,661179
2009-03-19,202101,8.139,8.139,8.139,8.139,0,0,230260,651089
2009-03-20,202101,8.224,8.224,8.224,8.224,0,0,141263,646309
2009-03-23,202101,8.331,8.331,8.331,8.331,0,0,94582,643932
2009-03-24,202101,8.471,8.471,8.471,8.471,0,0,151576,636183
2009-03-25,202101,8.532,8.532,8.532,8.532,0,0,123234,631308
2009-03-26,202101,8.447,8.447,8.447,8.447,0,0,228852,619494
2009-03-27,202101,8.424,8.424,8.424,8.424,0,0,153536,623861
2009-03-30,202101,8.431,8.431,8.431,8.431,0,0,74257,621256
2009-03-31,202101,8.481,8.481,8.481,8.481,0,0,109964,624397
2009-04-01,202101,8.472,8.472,8.472,8.472,0,0,105235,626578
2009-04-02,202101,8.491,8.491,8.491,8.491,0,0,110315,629750
2009-04-03,202101,8.484,8.484,8.484,8.484,0,0,77312,629353
2009-04-06,202101,8.497,8.497,8.497,8.497,0,0,78863,627949
2009-04-07,202101,8.462,8.462,8.462,8.462,0,0,127412,632142
2009-04-08,202101,8.464,8.464,8.464,8.464,0,0,99449,636562
2009-04-09,202101,8.457,8.457,8.457,8.457,0,0,111172,647049
2009-04-13,202101,8.479,8.479,8.479,8.479,0,0,110531,649400
2009-04-14,202101,8.56,8.56,8.56,8.56,0,0,150659,663448
2009-04-15,202101,8.584,8.584,8.584,8.584,0,0,130863,664597
2009-04-16,202101,8.625,8.625,8.625,8.625,0,0,150789,669676
2009-04-17,202101,8.678,8.678,8.678,8.678,0,0,138882,660563
2009-04-20,202101,8.659,8.659,8.659,8.659,0,0,115007,660195
2009-04-21,202101,8.683,8.683,8.683,8.683,0,0,127739,659500
2009-04-22,202101,8.722,8.722,8.722,8.722,0,0,106732,662258
2009-04-23,202101,8.718,8.718,8.718,8.718,0,0,145349,661539
2009-04-24,202101,8.706,8.706,8.706,8.706,0,0,118442,660783
2009-04-27,202101,8.684,8.684,8.684,8.684,0,0,136899,652714
2009-04-28,202101,8.609,8.609,8.609,8.609,0,0,120858,645096
2009-04-29,202101,8.589,8.589,8.589,8.589,0,0,110972,650582
2009-04-30,202101,8.578,8.578,8.578,8.578,0,0,119611,659775
2009-05-01,202101,8.605,8.605,8.605,8.605,0,0,117436,658912
2009-05-04,202101,8.689,8.689,8.689,8.689,0,0,119810,657152
2009-05-05,202101,8.663,8.663,8.663,8.663,0,0,113186,657764
2009-05-06,202101,8.636,8.636,8.636,8.636,0,0,176048,664522
2009-05-07,202101,8.676,8.676,8.676,8.676,0,0,231187,668376
2009-05-08,202101,8.613,8.613,8.613,8.613,0,0,168594,676263
2009-05-11,202101,8.561,8.561,8.561,8.561,0,0,166805,680891
2009-05-12,202101,8.503,8.503,8.503,8.503,30,30,219429,686113
2009-05-13,202101,8.429,8.429,8.429,8.429,0,30,246113,692969
2009-05-14,202101,8.498,8.498,8.498,8.498,0,30,201620,690247
2009-05-15,202101,8.503,8.503,8.503,8.503,0,30,129321,680956
2009-05-18,202101,8.612,8.612,8.612,8.612,0,30,149295,684263
2009-05-19,202101,8.611,8.611,8.611,8.611,0,30,208876,680523
2009-05-20,202101,8.648,8.648,8.648,8.648,0,30,162129,682393
2009-05-21,202101,8.614,8.614,8.614,8.614,0,30,218804,688819
2009-05-22,202101,8.719,8.719,8.719,8.719,0,30,138709,689984
2009-05-26,202101,8.767,8.767,8.767,8.767,0,30,190009,682096
2009-05-27,202101,8.786,8.786,8.786,8.786,0,30,159101,677529
2009-05-28,202101,8.831,8.831,8.831,8.831,0,30,198992,684440
2009-05-29,202101,8.791,8.791,8.791,8.791,0,30,163522,685105
2009-06-01,202101,8.877,8.877,8.877,8.877,0,30,173443,693086
2009-06-02,202101,8.804,8.804,8.804,8.804,0,30,165435,682815
2009-06-03,202101,8.775,8.775,8.775,8.775,0,30,194680,690200
2009-06-04,202101,9.065,9.065,9.065,9.065,0,30,221218,701448
2009-06-05,202101,9.162,9.162,9.162,9.162,0,30,206043,696365
2009-06-08,202101,9.184,9.184,9.184,9.184,0,30,193534,710569
2009-06-09,202101,9.213,9.213,9.213,9.213,0,30,191608,713310
2009-06-10,202101,9.149,9.149,9.149,9.149,0,30,218785,727342
2009-06-11,202101,9.224,9.224,9.224,9.224,0,30,368263,738063
2009-06-12,202101,9.16,9.16,9.16,9.16,0,30,244267,729616
2009-06-15,202101,9.177,9.177,9.177,9.177,0,30,277470,721126
2009-06-16,202101,9.158,9.158,9.158,9.158,0,30,273423,720428
2009-06-17,202101,9.145,9.145,9.145,9.145,0,30,246502,717087
2009-06-18,202101,9.062,9.062,9.062,9.062,0,30,199260,716962
2009-06-19,202101,8.933,8.933,8.933,8.933,0,30,136317,712824
2009-06-22,202101,8.883,8.883,8.883,8.883,0,30,193355,709441
2009-06-23,202101,8.863,8.863,8.863,8.863,0,30,191876,699295
2009-06-24,202101,8.892,8.892,8.892,8.892,0,30,196917,709646
2009-06-25,202101,8.947,8.947,8.947,8.947,0,30,210857,703331
2009-06-26,202101,9.016,9.016,9.016,9.016,0,30,139455,698215
2009-06-29,202101,8.971,8.971,8.971,8.971,0,30,101161,701119
2009-06-30,202101,9.04,9.04,9.04,9.04,0,30,142683,712804
2009-07-01,202101,9.065,9.065,9.065,9.065,0,30,137300,719960
2009-07-02,202101,9.077,9.077,9.077,9.077,0,30,157812,730391
2009-07-06,202101,9.077,9.077,9.077,9.077,0,30,166909,730963
2009-07-07,202101,9.054,9.054,9.054,9.054,0,30,178677,739142
2009-07-08,202101,8.987,8.987,8.987,8.987,0,30,135608,744040
2009-07-09,202101,8.982,8.982,8.982,8.982,0,30,155458,749975
2009-07-10,202101,8.911,8.911,8.911,8.911,0,30,97753,753358
2009-07-13,202101,8.812,8.812,8.812,8.812,0,30,173584,759383
2009-07-14,202101,8.835,8.835,8.835,8.835,0,30,190603,749240
2009-07-15,202101,8.784,8.784,8.784,8.784,0,30,278168,759926
2009-07-16,202101,8.892,8.892,8.892,8.892,0,30,311145,756998
2009-07-17,202101,8.82,8.82,8.82,8.82,0,30,213978,757439
2009-07-20,202101,8.828,8.828,8.828,8.828,0,30,221459,763095
2009-07-21,202101,8.795,8.795,8.795,8.795,0,30,155775,752409
2009-07-22,202101,8.732,8.732,8.732,8.732,0,30,213672,738193
2009-07-23,202101,8.736,8.736,8.736,8.736,0,30,258756,739400
2009-07-24,202101,8.84,8.84,8.84,8.84,0,30,166601,720385
2009-07-27,202101,8.824,8.824,8.824,8.824,0,30,142860,716213
2009-07-28,202101,8.802,8.802,8.802,8.802,0,30,180051,710992
2009-07-29,202101,8.729,8.729,8.729,8.729,0,30,153585,706323
2009-07-30,202101,8.823,8.823,8.823,8.823,0,30,152921,712555
2009-07-31,202101,8.801,8.801,8.801,8.801,0,30,136682,715227
2009-08-03,202101,8.936,8.936,8.936,8.936,0,30,252454,714186
2009-08-04,202101,8.88,8.88,8.88,8.88,0,30,184012,712429
2009-08-05,202101,8.896,8.896,8.896,8.896,0,30,143575,711701
2009-08-06,202101,8.821,8.821,8.821,8.821,0,30,207910,721047
2009-08-07,202101,8.812,8.812,8.812,8.812,0,30,165885,717416
2009-08-10,202101,8.832,8.832,8.832,8.832,0,30,176627,718749
2009-08-11,202101,8.821,8.821,8.821,8.821,0,30,204577,732986
2009-08-12,202101,8.831,8.831,8.831,8.831,0,30,259109,749423
2009-08-13,202101,8.82,8.82,8.82,8.82,0,30,366918,749337
2009-08-14,202101,8.794,8.794,8.794,8.794,0,30,310520,737967
2009-08-17,202101,8.736,8.736,8.736,8.736,0,30,251751,746092
