Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2013-11-14,201601,1168.75,1168.75,1168.75,1168.75,0,0,128278,586191
2013-11-15,201601,1145.25,1145.25,1145.25,1145.25,0,0,174248,580952
2013-11-18,201601,1150.0,1150.0,1150.0,1142.5,7,5,117947,584951
2013-11-19,201601,1141.25,1141.25,1141.25,1141.25,0,5,194419,580418
2013-11-20,201601,1147.25,1147.25,1147.25,1147.25,0,5,131492,582667
2013-11-21,201601,1151.25,1151.25,1151.25,1151.25,0,5,159394,580550
2013-11-22,201601,1155.75,1155.75,1155.75,1155.75,0,5,243254,592375
2013-11-25,201601,1152.0,1152.0,1152.0,1152.0,0,5,208908,596944
2013-11-26,201601,1148.75,1148.75,1148.25,1149.75,2,7,203036,606008
2013-11-27,201601,1138.5,1138.5,1138.5,1138.5,0,7,211736,611551
2013-11-29,201601,1140.5,1140.5,1140.5,1140.5,0,7,116230,618941
2013-12-02,201601,1140.75,1140.75,1140.75,1144.5,1,7,184413,620152
2013-12-03,201601,1145.25,1145.25,1145.25,1152.5,1,7,199498,617952
2013-12-04,201601,1158.0,1158.0,1158.0,1158.0,0,7,217787,619404
2013-12-05,201601,1156.75,1156.75,1156.75,1156.75,0,7,202269,621987
2013-12-06,201601,1158.0,1158.0,1158.0,1158.0,0,7,176116,627208
2013-12-09,201601,1164.75,1164.75,1164.75,1164.75,0,7,238641,633121
2013-12-10,201601,1160.5,1160.5,1160.5,1160.5,0,7,316623,641333
2013-12-11,201601,1160.25,1160.25,1160.25,1160.25,0,7,197590,642104
2013-12-12,201601,1152.5,1152.5,1152.5,1152.5,0,7,295952,639987
2013-12-13,201601,1150.5,1150.5,1150.5,1150.5,0,7,143673,638677
2013-12-16,201601,1154.75,1154.75,1154.75,1154.75,0,7,197650,644866
2013-12-17,201601,1157.75,1157.75,1157.75,1157.75,0,7,238841,650861
2013-12-18,201601,1153.0,1153.0,1153.0,1153.0,0,7,260654,642540
2013-12-19,201601,1156.75,1156.75,1156.75,1156.75,0,7,249081,643114
2013-12-20,201601,1164.25,1164.25,1164.25,1164.25,0,7,190687,634667
2013-12-23,201601,1158.5,1158.5,1158.5,1158.5,0,7,148063,632290
2013-12-24,201601,1156.25,1156.25,1156.25,1156.25,0,7,60604,628600
2013-12-26,201601,1144.5,1144.5,1144.5,1144.5,0,7,129903,608358
2013-12-27,201601,1148.0,1148.0,1148.0,1148.0,0,7,118676,589057
2013-12-30,201601,1140.0,1140.0,1140.0,1140.0,0,7,162488,577637
2013-12-31,201601,1130.5,1130.5,1130.5,1130.5,0,7,125649,575756
2014-01-02,201601,1125.75,1125.75,1125.75,1125.75,0,7,185240,571210
2014-01-03,201601,1125.25,1125.25,1125.25,1125.25,0,7,154822,564100
2014-01-06,201601,1119.25,1119.25,1119.25,1119.25,0,7,107518,564362
2014-01-07,201601,1111.5,1111.5,1111.5,1111.5,0,7,148924,569064
2014-01-08,201601,1104.25,1104.25,1104.0,1100.0,1,7,147485,574651
2014-01-09,201601,1104.0,1104.0,1104.0,1096.75,1,8,128545,579975
2014-01-10,201601,1096.25,1096.25,1095.0,1094.5,16,22,239757,587127
2014-01-13,201601,1104.0,1104.0,1104.0,1104.5,4,25,196646,593690
2014-01-14,201601,1107.25,1107.25,1107.25,1107.25,0,25,220963,594392
2014-01-15,201601,1106.0,1106.0,1106.0,1106.0,0,25,173220,592957
2014-01-16,201601,1110.5,1110.5,1110.5,1110.5,0,25,191000,605353
2014-01-17,201601,1113.5,1113.5,1113.5,1113.5,0,25,138091,610742
2014-01-21,201601,1097.5,1097.5,1097.5,1097.5,0,25,200692,603948
2014-01-22,201601,1101.5,1101.5,1101.5,1101.5,0,25,188595,592412
2014-01-23,201601,1097.0,1097.0,1097.0,1097.0,0,25,194154,590883
2014-01-24,201601,1101.0,1101.0,1101.0,1101.0,0,25,212130,587808
2014-01-27,201601,1092.25,1092.25,1092.25,1092.25,0,25,170820,587066
2014-01-28,201601,1093.0,1093.0,1093.0,1093.0,0,25,118614,591635
2014-01-29,201601,1087.5,1087.5,1087.5,1087.5,0,25,190595,605699
2014-01-30,201601,1087.75,1087.75,1087.75,1087.75,0,25,240429,609034
2014-01-31,201601,1095.25,1095.25,1095.25,1095.25,0,25,144422,612079
2014-02-03,201601,1097.5,1097.5,1097.5,1097.5,0,25,171232,615042
2014-02-04,201601,1097.75,1097.75,1097.75,1097.75,0,25,224538,624488
2014-02-05,201601,1100.5,1100.5,1100.5,1100.5,0,25,218251,634811
2014-02-06,201601,1105.25,1105.25,1105.25,1105.25,0,25,245449,654934
2014-02-07,201601,1109.25,1109.25,1109.25,1109.25,0,25,201616,667899
2014-02-10,201601,1104.75,1104.75,1104.75,1104.75,0,25,303729,675837
2014-02-11,201601,1108.5,1108.5,1108.5,1108.5,0,25,285371,683209
2014-02-12,201601,1105.5,1105.5,1105.5,1105.5,0,25,265725,675833
2014-02-13,201601,1110.5,1110.5,1110.5,1110.5,0,25,336824,688960
2014-02-14,201601,1105.25,1105.25,1105.25,1105.25,0,25,251027,685570
2014-02-18,201601,1110.5,1110.5,1110.5,1110.5,0,25,273669,691005
2014-02-19,201601,1106.75,1106.75,1106.75,1106.75,0,25,251651,695096
2014-02-20,201601,1106.75,1106.75,1106.75,1106.75,0,25,247535,701893
2014-02-21,201601,1112.75,1112.75,1112.75,1112.75,0,25,270762,695706
2014-02-24,201601,1115.0,1115.0,1115.0,1115.0,0,25,280786,700980
2014-02-25,201601,1121.25,1121.25,1121.25,1121.25,0,25,295238,704089
2014-02-26,201601,1123.5,1123.5,1123.5,1123.5,0,25,344555,692844
2014-02-27,201601,1113.75,1113.75,1113.75,1113.75,0,25,427926,678121
2014-02-28,201601,1119.0,1119.0,1119.0,1122.0,1,24,194661,677326
2014-03-03,201601,1123.5,1123.5,1123.5,1123.5,0,24,196968,672447
2014-03-04,201601,1129.25,1129.25,1129.25,1129.25,2,24,148109,668094
2014-03-05,201601,1133.0,1133.0,1133.0,1133.0,1,25,182537,659651
2014-03-06,201601,1137.25,1137.25,1137.25,1137.25,0,25,157486,664293
2014-03-07,201601,1137.25,1137.25,1137.25,1137.25,0,25,224385,658779
2014-03-10,201601,1128.25,1128.25,1128.25,1128.25,1,25,223638,662607
2014-03-11,201601,1141.25,1141.25,1141.25,1141.25,0,25,205056,670093
2014-03-12,201601,1127.0,1127.0,1127.0,1127.0,0,25,249686,664086
2014-03-13,201601,1128.25,1128.25,1128.25,1128.25,0,25,222838,672401
2014-03-14,201601,1125.0,1125.0,1125.0,1125.0,0,25,136094,664805
2014-03-17,201601,1126.0,1126.0,1126.0,1126.0,0,25,114106,659452
2014-03-18,201601,1133.0,1133.0,1133.0,1133.0,0,25,156494,656246
2014-03-19,201601,1133.5,1133.5,1133.5,1133.5,0,25,168629,643041
2014-03-20,201601,1133.0,1133.0,1133.0,1133.0,0,25,212552,636459
2014-03-21,201601,1127.25,1127.25,1127.25,1127.25,0,25,151039,627537
2014-03-24,201601,1134.25,1134.25,1134.25,1134.25,0,25,149760,623513
2014-03-25,201601,1136.5,1136.5,1136.5,1136.5,0,25,103188,624304
2014-03-26,201601,1138.75,1138.75,1138.75,1138.75,0,25,120993,627294
2014-03-27,201601,1138.0,1138.0,1138.0,1138.0,0,25,125720,627996
2014-03-28,201601,1139.5,1139.5,1139.5,1139.5,0,25,125687,629001
2014-03-31,201601,1139.0,1139.0,1139.0,1139.0,0,25,238934,635842
2014-04-01,201601,1141.0,1148.0,1141.0,1153.75,3,26,217903,638253
2014-04-02,201601,1157.5,1157.5,1157.5,1157.5,0,26,233338,637533
2014-04-03,201601,1158.0,1158.0,1158.0,1158.0,0,26,162371,641236
2014-04-04,201601,1170.5,1170.5,1170.5,1170.5,0,26,148189,635387
2014-04-07,201601,1162.25,1162.25,1162.25,1168.0,1,27,166436,638906
2014-04-08,201601,1167.75,1167.75,1167.75,1175.25,1,28,202515,642179
2014-04-09,201601,1175.0,1177.5,1175.0,1181.75,6,28,273738,650780
