Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2005-06-02,200705,8.54,8.54,8.54,8.54,0,0,45591,362385
2005-06-03,200705,8.56,8.56,8.56,8.66,11,11,85116,365231
2005-06-06,200705,8.7,8.7,8.66,8.67,37,44,56509,362049
2005-06-07,200705,8.7,8.7,8.7,8.71,7,51,57686,361372
2005-06-08,200705,8.71,8.71,8.71,8.72,7,58,53726,360380
2005-06-09,200705,8.72,8.72,8.72,8.71,7,65,74162,363566
2005-06-10,200705,8.77,8.77,8.77,8.73,50,115,77280,352891
2005-06-13,200705,8.67,8.67,8.67,8.67,0,115,66285,351924
2005-06-14,200705,8.72,8.75,8.72,8.75,160,215,46989,352603
2005-06-15,200705,8.75,8.77,8.75,8.71,140,315,63274,357804
2005-06-16,200705,8.78,8.83,8.78,8.82,280,371,66432,364131
2005-06-17,200705,8.85,8.87,8.85,8.88,120,444,66630,370378
2005-06-20,200705,8.91,8.91,8.91,8.91,0,444,64210,377128
2005-06-21,200705,8.9,8.91,8.9,8.89,20,431,41331,369363
2005-06-22,200705,8.95,8.95,8.95,8.9,12,430,77358,375502
2005-06-23,200705,8.95,8.95,8.95,8.92,3,433,61700,371773
2005-06-24,200705,8.95,8.98,8.95,8.88,31,432,58630,374478
2005-06-27,200705,8.99,9.0,8.99,8.94,68,500,78484,381414
2005-06-28,200705,8.98,8.99,8.98,8.85,106,570,74554,385202
2005-06-29,200705,8.88,8.95,8.88,8.97,150,670,50014,378927
2005-06-30,200705,9.03,9.05,9.03,8.94,101,728,56589,378275
2005-07-01,200705,8.93,9.0,8.93,9.01,76,720,39191,367224
2005-07-05,200705,9.05,9.05,9.05,9.05,166,742,38349,376077
2005-07-06,200705,9.06,9.08,9.06,9.09,304,836,36155,379816
2005-07-07,200705,9.07,9.07,9.07,9.09,100,936,23855,380802
2005-07-08,200705,9.1,9.11,9.1,9.1,20,956,48993,390314
2005-07-11,200705,9.1,9.1,9.1,9.1,0,956,32104,389257
2005-07-12,200705,9.12,9.12,9.12,9.12,1,956,31454,394354
2005-07-13,200705,9.13,9.13,9.13,9.13,110,1006,34204,404086
2005-07-14,200705,9.12,9.12,9.12,9.12,0,1006,29263,404748
2005-07-15,200705,9.08,9.08,9.08,9.08,0,1006,19534,407898
2005-07-18,200705,9.07,9.07,9.07,9.07,0,1006,43327,415376
2005-07-19,200705,9.03,9.03,8.98,8.99,3,1006,35075,410328
2005-07-20,200705,8.95,8.96,8.95,8.93,81,1040,29989,406276
2005-07-21,200705,8.9,8.9,8.9,9.05,55,1088,59516,411628
2005-07-22,200705,9.05,9.05,9.05,9.02,4,1088,75394,406648
2005-07-25,200705,9.06,9.09,9.06,9.07,58,1103,64474,413377
2005-07-26,200705,9.08,9.08,9.08,9.08,23,1088,49751,424133
2005-07-27,200705,9.06,9.1,9.06,9.08,7,1095,35532,429245
2005-07-28,200705,9.09,9.09,9.09,9.09,0,1095,28447,435023
2005-07-29,200705,9.1,9.13,9.1,9.1,18,1110,24638,436201
2005-08-01,200705,9.13,9.14,9.13,9.12,29,1131,38426,438542
2005-08-02,200705,9.12,9.12,9.1,9.17,81,1141,67776,452855
2005-08-03,200705,9.23,9.28,9.23,9.25,12,1141,93347,462713
2005-08-04,200705,9.35,9.35,9.35,9.32,26,1159,83343,479617
2005-08-05,200705,9.3,9.34,9.3,9.3,314,1466,50590,488880
2005-08-08,200705,9.3,9.38,9.3,9.4,96,1485,38878,494703
