Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI
2013-06-27,201505,1887.3,1887.3,1887.3,1887.3,0,0,88535,139178
2013-06-28,201505,1979.9,1979.9,1979.9,1979.9,0,0,90007,138472
2013-07-01,201505,1990.7,1990.7,1990.7,1990.7,0,0,57140,136969
2013-07-02,201505,1963.3,1963.3,1963.3,1963.3,0,0,34721,136146
2013-07-03,201505,2002.9,2002.9,2002.9,2002.9,0,0,40474,135719
2013-07-05,201505,1906.1,1906.1,1906.1,1906.1,0,0,60034,136347
2013-07-08,201505,1936.7,1936.7,1936.7,1936.7,0,0,34514,135394
2013-07-09,201505,1946.9,1946.9,1946.9,1946.9,0,0,39129,133851
2013-07-10,201505,1949.8,1949.8,1949.8,1949.8,0,0,39810,132702
2013-07-11,201505,2028.4,2028.4,2028.4,2028.4,0,0,59834,133151
2013-07-12,201505,2011.5,2011.5,2011.5,2011.5,0,0,30067,131994
2013-07-15,201505,2016.2,2016.2,2016.2,2016.2,0,0,27653,133116
2013-07-16,201505,2025.0,2025.0,2025.0,2025.0,0,0,33986,133445
2013-07-17,201505,1972.4,1972.4,1972.4,1972.4,0,0,61960,134277
2013-07-18,201505,1969.2,1969.2,1969.2,1969.2,0,0,44885,131944
2013-07-19,201505,1976.0,1976.0,1976.0,1976.0,0,0,23138,132732
2013-07-22,201505,2081.1,2081.1,2081.1,2081.1,0,0,54957,133641
2013-07-23,201505,2055.4,2055.4,2055.4,2055.4,0,0,42453,131748
2013-07-24,201505,2032.2,2032.2,2032.2,2032.2,0,0,41640,131077
2013-07-25,201505,2045.7,2045.7,2045.7,2045.7,0,0,35428,130582
2013-07-26,201505,2006.9,2006.9,2006.9,2006.9,0,0,43640,131461
2013-07-29,201505,2016.4,2016.4,2016.4,2016.4,0,0,35236,132210
2013-07-30,201505,1997.9,1997.9,1997.9,1997.9,0,0,33244,132831
2013-07-31,201505,1992.4,1992.4,1992.4,1992.4,0,0,58344,133980
2013-08-01,201505,1992.2,1992.2,1992.2,1992.2,0,0,41040,134239
2013-08-02,201505,2020.8,2020.8,2020.8,2020.8,0,0,64335,135679
2013-08-05,201505,2001.7,2001.7,2001.7,2001.7,0,0,36270,133714
2013-08-06,201505,1981.9,1981.9,1981.9,1981.9,0,0,42981,132053
2013-08-07,201505,1980.4,1980.4,1980.4,1980.4,0,0,51760,131954
2013-08-08,201505,2048.8,2048.8,2048.8,2048.8,0,0,68541,134025
